time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
11,0.24,-0.23,-0.98,8.91,9.09,-10.68
31,0.22,-0.27,-1.02,11.05,7.26,-8.36
51,0.23,-0.25,-0.99,9.16,3.3,-4.46
71,0.23,-0.25,-1.0,4.21,1.46,-3.54
90,0.22,-0.28,-1.03,2.2,-0.43,-2.14
110,0.23,-0.3,-1.11,3.97,-6.53,3.3
130,0.26,-0.31,-1.17,7.2,-22.34,9.52
151,0.25,-0.32,-1.03,7.26,-38.33,14.47
172,0.31,-0.31,-0.92,-2.44,-39.43,20.51
193,0.33,-0.34,-0.78,-17.76,-28.99,26.73
213,0.35,-0.35,-0.91,-32.96,-5.43,31.43
233,0.32,-0.48,-0.99,-33.33,-0.79,39.31
253,0.31,-0.55,-0.85,-19.47,-17.94,55.48
273,0.29,-0.52,-0.65,-21.79,-29.97,76.84
293,0.27,-0.42,-0.52,-20.32,-24.54,95.64
314,0.26,-0.29,-0.43,-10.44,-6.04,105.77
334,0.25,-0.17,-0.41,-19.59,19.47,107.67
356,0.22,-0.05,-0.47,-43.7,56.03,96.62
376,0.16,0.01,-0.53,-43.09,67.38,87.59
396,0.13,0.05,-0.59,-50.05,87.52,61.65
417,0.1,0.02,-0.76,-73.36,102.54,30.52
437,0.04,0.03,-0.81,-72.51,101.01,17.15
457,-0.01,0.06,-0.86,-68.3,101.2,8.54
477,-0.05,0.07,-0.95,-62.62,102.78,-15.2
498,-0.09,0.02,-1.08,-59.75,96.8,-56.21
519,-0.13,-0.06,-1.17,-53.71,83.68,-72.57
540,-0.15,-0.11,-1.2,-46.75,73.18,-80.93
561,-0.18,-0.14,-1.23,-44.01,63.05,-90.09
582,-0.2,-0.16,-1.24,-44.8,51.39,-102.05
603,-0.23,-0.27,-1.25,-39.25,44.13,-114.69
625,-0.26,-0.34,-1.32,-29.72,37.41,-120.73
646,-0.29,-0.36,-1.36,-31.31,20.57,-126.34
668,-0.3,-0.44,-1.34,-33.57,0.85,-137.7
688,-0.31,-0.55,-1.3,-26.0,-10.44,-142.21
708,-0.3,-0.59,-1.3,-26.86,-22.16,-140.38
729,-0.28,-0.63,-1.34,-32.78,-39.67,-141.6
751,-0.32,-0.71,-1.32,-28.14,-76.54,-141.48
772,-0.31,-0.89,-1.22,-24.05,-92.41,-128.78
794,-0.2,-1.02,-1.22,-17.52,-103.33,-94.54
816,-0.14,-1.03,-1.21,-16.17,-125.61,-54.87
837,-0.15,-0.96,-1.11,-16.24,-149.41,-22.4
859,-0.13,-0.89,-1.0,-17.4,-164.55,1.22
880,-0.06,-0.89,-0.89,-13.06,-171.2,20.14
901,-0.0,-0.95,-0.78,-1.89,-167.05,46.02
921,0.05,-0.97,-0.71,5.98,-154.54,81.97
941,0.08,-0.87,-0.64,13.49,-138.85,119.26
962,0.09,-0.68,-0.58,19.9,-124.88,144.65
983,0.13,-0.52,-0.5,14.89,-114.99,150.15
1003,0.15,-0.39,-0.43,2.14,-101.44,145.2
1024,0.19,-0.27,-0.4,0.92,-73.55,126.46
1044,0.23,-0.2,-0.36,5.37,-53.41,114.99
1066,0.25,-0.13,-0.33,5.25,-32.41,101.99
1086,0.26,-0.07,-0.35,-1.59,-14.28,84.84
1107,0.26,-0.02,-0.35,-6.1,3.72,65.8
1128,0.26,0.01,-0.34,-4.94,26.06,47.12
1148,0.28,0.03,-0.34,0.06,48.34,30.76
1168,0.28,0.06,-0.36,-3.54,68.05,9.4
1189,0.26,0.02,-0.43,-16.72,84.84,-15.08
1209,0.25,-0.05,-0.51,-21.61,100.46,-33.2
1229,0.22,-0.09,-0.61,-13.73,113.89,-44.56
1250,0.17,-0.11,-0.69,-11.41,123.17,-58.11
1271,0.13,-0.21,-0.81,-16.42,126.46,-70.13
1294,0.11,-0.28,-0.87,-17.4,127.2,-73.67
1315,0.04,-0.29,-0.83,-18.86,125.67,-71.35
1336,-0.02,-0.29,-0.81,-35.77,131.41,-72.94
1357,-0.07,-0.28,-0.89,-39.98,144.65,-75.56
1378,-0.13,-0.27,-1.02,-20.08,151.86,-88.5
1399,-0.18,-0.37,-1.12,-19.47,142.88,-99.73
1419,-0.17,-0.5,-1.26,-10.93,128.05,-95.52
1440,-0.18,-0.59,-1.34,-1.89,102.05,-80.38
1461,-0.19,-0.61,-1.36,-0.73,73.91,-63.05
1482,-0.21,-0.6,-1.33,9.22,53.47,-43.64
1503,-0.24,-0.59,-1.28,13.73,39.43,-26.98
1524,-0.26,-0.53,-1.22,12.51,26.79,-13.18
1544,-0.29,-0.48,-1.19,9.03,16.66,-5.86
1564,-0.29,-0.47,-1.18,5.31,8.97,-3.97
1585,-0.3,-0.46,-1.09,6.59,2.62,-2.2
1606,-0.29,-0.46,-1.06,6.29,2.44,1.65
1626,-0.28,-0.43,-1.05,3.78,1.04,5.13
1646,-0.28,-0.39,-1.01,3.11,-3.48,6.16
1665,-0.28,-0.37,-0.99,7.2,-5.25,5.98
1685,-0.28,-0.35,-0.96,7.14,-6.1,3.54
1705,-0.27,-0.37,-0.93,2.38,-6.16,1.65
1725,-0.26,-0.38,-0.9,0.55,-4.82,3.3
1744,-0.26,-0.36,-0.9,-0.43,-3.91,5.25
1765,-0.25,-0.33,-0.91,1.34,-3.78,3.97
1786,-0.26,-0.33,-0.9,2.62,-4.33,-0.12
1807,-0.25,-0.36,-0.88,2.08,-4.82,-2.01
1828,-0.24,-0.36,-0.88,1.34,-3.85,-0.43
1849,-0.25,-0.37,-0.88,-2.75,-4.03,-0.12
1870,-0.24,-0.37,-0.88,-3.42,-3.3,-0.55
1892,-0.24,-0.36,-0.87,1.1,-2.69,0.85
1913,-0.24,-0.35,-0.86,0.92,-2.38,2.2
1933,-0.24,-0.35,-0.86,-0.67,-1.59,1.53
1953,-0.24,-0.35,-0.87,0.0,-0.43,0.37
1973,-0.24,-0.35,-0.87,0.12,-0.61,-0.12
1993,-0.24,-0.34,-0.86,-1.71,0.0,-0.12
2014,-0.24,-0.35,-0.88,-2.32,1.83,-0.49
2035,-0.24,-0.36,-0.89,-3.05,1.34,-2.38
2056,-0.24,-0.37,-0.89,0.31,1.83,-1.16
