time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
3,-0.3,0.43,-1.0,1.59,-5.74,0.98
11,-0.37,0.41,-0.98,-0.49,-0.37,2.26
19,-0.23,0.5,-0.9,1.04,-3.23,5.8
27,-0.31,0.42,-0.93,0.98,-10.38,5.19
35,-0.29,0.42,-0.93,0.85,-7.26,5.74
43,-0.27,0.44,-0.93,0.18,-6.84,6.59
51,-0.28,0.43,-0.93,-0.06,-6.16,5.74
59,-0.29,0.42,-0.92,-0.92,-6.35,4.94
67,-0.3,0.43,-0.92,-1.71,-4.64,5.0
75,-0.3,0.43,-0.92,-1.89,-3.36,5.07
83,-0.33,0.44,-0.91,-2.01,0.37,5.49
91,-0.34,0.44,-0.9,-1.95,2.38,6.1
99,-0.37,0.45,-0.89,-1.95,5.43,8.61
107,-0.37,0.46,-0.87,-1.77,6.23,10.13
115,-0.4,0.47,-0.86,-1.59,5.37,13.0
123,-0.43,0.48,-0.84,-0.55,4.76,16.78
131,-0.43,0.49,-0.84,0.31,3.97,19.1
139,-0.43,0.48,-0.83,1.77,1.1,22.64
147,-0.42,0.48,-0.83,2.44,-0.67,23.8
155,-0.41,0.46,-0.84,3.6,-4.27,24.84
163,-0.41,0.45,-0.86,4.27,-8.61,24.6
171,-0.41,0.45,-0.86,4.15,-10.13,24.23
179,-0.42,0.45,-0.88,3.54,-10.8,23.74
187,-0.43,0.45,-0.88,3.05,-9.89,24.11
195,-0.45,0.44,-0.88,2.81,-6.35,26.49
203,-0.45,0.43,-0.87,3.05,-3.97,28.2
211,-0.43,0.42,-0.85,3.72,1.53,32.29
219,-0.39,0.41,-0.82,4.33,5.19,35.16
227,-0.37,0.4,-0.8,4.64,5.92,36.01
235,-0.34,0.39,-0.77,5.19,5.13,37.35
243,-0.32,0.38,-0.75,5.37,3.85,37.66
251,-0.28,0.37,-0.73,5.8,-1.53,36.8
259,-0.27,0.36,-0.72,6.53,-7.87,34.55
267,-0.26,0.36,-0.72,7.2,-10.38,33.39
275,-0.27,0.36,-0.72,9.03,-13.18,31.19
283,-0.27,0.36,-0.73,9.7,-13.37,30.52
291,-0.28,0.37,-0.72,10.86,-11.05,30.52
299,-0.28,0.37,-0.71,11.96,-9.22,31.43
307,-0.26,0.35,-0.67,14.59,-4.46,33.63
315,-0.22,0.35,-0.64,17.33,-4.7,34.91
323,-0.21,0.35,-0.64,18.37,-7.57,34.97
331,-0.19,0.34,-0.63,20.02,-14.83,34.24
339,-0.18,0.34,-0.63,20.2,-18.31,33.69
347,-0.17,0.34,-0.64,22.28,-24.41,31.86
355,-0.18,0.33,-0.65,23.68,-26.55,30.7
363,-0.19,0.33,-0.68,25.94,-27.71,29.72
371,-0.19,0.31,-0.71,28.26,-24.9,29.79
379,-0.18,0.32,-0.72,29.6,-21.24,30.27
387,-0.16,0.32,-0.7,31.86,-10.99,31.49
395,-0.15,0.31,-0.68,33.08,-6.59,32.04
403,-0.1,0.31,-0.64,35.46,-2.93,32.9
411,-0.07,0.3,-0.62,38.09,-4.88,31.98
419,-0.05,0.29,-0.61,39.55,-7.93,31.13
427,-0.02,0.28,-0.62,41.69,-16.42,28.63
435,-0.01,0.28,-0.63,42.66,-21.91,26.86
443,-0.01,0.29,-0.7,45.1,-32.71,22.89
451,-0.01,0.28,-0.73,45.9,-35.03,20.39
459,-0.03,0.26,-0.78,47.0,-34.79,16.54
467,-0.04,0.27,-0.8,47.97,-28.26,14.22
475,-0.04,0.28,-0.8,48.34,-24.41,13.79
483,-0.04,0.25,-0.78,48.95,-19.29,13.61
491,-0.03,0.25,-0.76,49.13,-18.37,14.22
499,0.02,0.24,-0.73,50.35,-19.35,15.32
507,0.07,0.22,-0.72,53.22,-24.96,14.1
515,0.08,0.21,-0.73,54.69,-29.6,12.7
523,0.08,0.21,-0.81,57.68,-38.82,7.02
531,0.06,0.21,-0.86,59.39,-41.5,3.91
539,0.01,0.2,-0.95,61.46,-40.83,-1.83
547,-0.01,0.2,-0.98,61.71,-37.23,-3.91
555,-0.05,0.22,-1.03,61.22,-26.37,-5.55
563,-0.05,0.23,-1.03,60.49,-13.85,-4.21
571,-0.04,0.23,-1.02,59.69,-8.79,-2.81
579,0.0,0.21,-0.99,58.9,-5.07,-0.79
587,0.02,0.19,-0.99,58.96,-6.23,-0.67
595,0.06,0.16,-1.02,58.84,-12.82,-2.2
603,0.08,0.15,-1.07,57.43,-21.0,-7.51
611,0.08,0.14,-1.1,56.34,-24.23,-10.99
619,0.07,0.14,-1.14,53.71,-25.94,-17.46
627,0.06,0.14,-1.15,52.31,-24.05,-20.39
635,0.03,0.13,-1.15,51.39,-17.21,-25.21
643,0.02,0.12,-1.16,51.03,-14.28,-26.92
651,0.0,0.13,-1.17,49.68,-9.46,-28.81
659,-0.0,0.12,-1.16,46.75,-7.87,-30.4
667,0.0,0.11,-1.16,44.92,-8.42,-31.25
675,0.01,0.11,-1.15,41.14,-10.99,-34.0
683,0.01,0.1,-1.14,39.37,-13.06,-36.01
691,-0.01,0.09,-1.14,36.68,-16.3,-40.95
699,-0.03,0.08,-1.13,35.4,-17.27,-45.59
