time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
3,-0.57,0.49,-0.89,-9.22,-7.32,19.9
11,-0.5,0.49,-0.69,-11.84,-4.82,25.27
19,-0.45,0.47,-0.71,-9.52,-17.27,22.64
27,-0.46,0.47,-0.68,-9.28,-19.59,20.63
35,-0.44,0.47,-0.63,-5.92,-22.52,18.55
43,-0.44,0.47,-0.62,-3.6,-21.12,18.01
51,-0.45,0.46,-0.58,2.69,-15.5,17.94
59,-0.49,0.46,-0.56,10.31,-5.13,19.65
67,-0.49,0.47,-0.57,14.34,-0.43,21.73
75,-0.5,0.48,-0.63,20.45,9.16,24.96
83,-0.51,0.48,-0.66,21.97,14.22,26.61
91,-0.61,0.47,-0.71,22.22,21.91,30.46
99,-0.66,0.46,-0.72,21.48,22.46,33.69
107,-0.74,0.47,-0.72,20.39,15.81,43.03
115,-0.71,0.47,-0.73,18.8,9.28,55.24
123,-0.65,0.48,-0.73,17.27,8.73,61.28
131,-0.52,0.46,-0.68,14.16,12.88,69.34
139,-0.47,0.46,-0.64,13.37,15.93,70.98
147,-0.4,0.44,-0.53,15.01,20.32,70.37
155,-0.39,0.43,-0.44,22.95,18.25,66.77
163,-0.4,0.43,-0.42,29.05,16.11,64.82
171,-0.4,0.42,-0.42,42.24,10.44,62.38
179,-0.39,0.42,-0.44,48.77,8.85,61.34
187,-0.4,0.41,-0.48,60.91,8.97,60.49
195,-0.41,0.4,-0.53,66.1,9.58,60.67
203,-0.44,0.42,-0.63,73.61,15.5,63.17
211,-0.45,0.41,-0.68,76.84,26.37,67.75
219,-0.46,0.41,-0.69,78.0,29.79,70.19
227,-0.49,0.39,-0.68,80.51,33.63,75.99
235,-0.45,0.37,-0.67,82.64,33.51,80.26
243,-0.32,0.37,-0.66,87.65,32.1,84.66
251,-0.26,0.35,-0.65,90.39,29.91,84.53
259,-0.16,0.35,-0.63,96.98,21.91,79.59
267,-0.07,0.33,-0.64,105.83,9.77,69.46
275,-0.05,0.33,-0.66,109.99,5.13,63.48
283,-0.05,0.28,-0.72,117.37,2.44,53.65
291,-0.07,0.26,-0.74,120.42,5.55,50.48
299,-0.11,0.24,-0.72,126.71,10.5,46.69
307,-0.08,0.21,-0.74,135.99,3.17,43.76
315,-0.04,0.21,-0.77,140.56,-0.24,41.56
323,0.02,0.16,-0.78,147.77,-1.4,33.14
331,0.01,0.14,-0.76,151.79,-5.0,27.59
339,-0.01,0.11,-0.78,160.16,-22.58,16.3
347,-0.01,0.1,-0.81,164.25,-30.58,10.99
355,-0.03,0.06,-0.87,169.92,-35.34,2.5
363,-0.04,0.08,-1.02,172.91,-31.43,-3.66
371,-0.08,0.07,-1.1,171.45,-22.89,-5.86
379,-0.14,0.05,-1.12,164.12,-3.36,-5.8
387,-0.13,0.06,-1.11,161.07,-2.32,-5.37
