time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
11,0.33,0.39,-1.29,-3.72,4.82,-11.11
30,0.43,0.25,-1.26,-13.18,-18.98,-17.88
49,0.49,0.13,-1.18,-18.68,-23.8,3.48
68,0.5,0.12,-1.13,7.57,-28.81,22.22
87,0.48,0.25,-1.06,14.59,-32.23,26.18
107,0.46,0.25,-1.08,-1.95,-47.0,23.13
126,0.51,0.15,-1.01,-19.53,-62.68,25.27
146,0.51,0.16,-1.03,-20.32,-63.05,45.65
165,0.7,0.2,-0.99,14.95,-68.18,74.83
184,0.43,0.32,-0.98,-38.45,-77.64,87.52
203,0.39,0.29,-0.85,-111.39,-94.67,66.59
222,0.56,0.1,-0.82,-154.91,-86.49,68.12
241,0.55,-0.0,-0.9,-117.92,-94.91,111.08
261,0.47,-0.04,-0.79,-72.63,-109.86,155.64
281,0.35,0.2,-0.67,-67.32,-120.06,170.41
301,0.27,0.43,-0.47,-83.25,-110.05,160.58
321,0.19,0.5,-0.4,-75.74,-77.82,159.36
341,-0.01,0.64,-0.28,-61.4,-38.57,157.23
360,-0.27,1.14,-0.24,-48.71,-13.92,141.05
379,-0.48,1.73,-0.16,-10.38,49.56,59.27
398,-0.66,2.09,-0.32,16.24,121.28,-65.12
418,-0.97,2.02,-0.49,21.61,163.88,-225.16
438,-1.25,1.64,-0.47,22.28,188.9,-417.48
458,-1.64,0.84,-0.55,33.08,243.04,-596.01
478,-1.83,-0.11,-1.05,63.84,319.64,-692.02
498,-1.6,-0.71,-1.57,114.56,356.63,-678.83
518,-0.95,-1.68,-2.21,69.15,314.64,-636.41
537,-0.56,-2.35,-2.27,-42.97,172.61,-524.48
556,0.11,-3.09,-1.75,-42.97,82.76,-275.02
576,0.36,-2.69,-1.66,17.64,61.52,-20.2
595,0.1,-1.81,-1.6,32.23,5.55,139.22
615,-0.16,-1.16,-1.37,41.08,-30.03,202.82
635,-0.17,-1.04,-1.34,37.66,-51.09,240.23
655,-0.24,-1.11,-1.08,30.27,-55.73,308.72
675,-0.26,-0.76,-0.9,26.92,-29.79,368.53
695,-0.25,-0.39,-1.11,12.02,-24.54,381.84
714,-0.29,-0.18,-1.37,-36.07,-51.09,390.56
734,-0.44,0.2,-1.22,-39.79,-93.93,386.9
754,-0.49,0.46,-0.88,-16.3,-96.25,360.35
774,-0.43,0.63,-0.87,-23.19,-63.6,318.97
794,-0.31,0.79,-1.03,-60.0,-52.92,267.7
814,-0.2,0.74,-1.06,-98.14,-69.52,201.11
835,-0.16,0.52,-0.9,-101.75,-82.95,137.51
854,-0.18,0.47,-0.69,-94.79,-78.61,105.83
874,-0.19,0.58,-0.62,-100.04,-50.35,73.36
893,-0.29,0.85,-0.54,-95.03,-3.42,9.4
913,-0.48,1.46,-0.38,-77.27,56.46,-95.83
933,-0.85,1.61,-0.39,-92.29,108.89,-279.6
953,-1.34,0.91,-0.6,-107.36,158.63,-478.58
972,-1.54,0.39,-0.72,-47.79,216.98,-597.35
992,-1.64,-0.54,-0.9,7.08,272.34,-610.66
1012,-1.18,-1.21,-1.47,2.5,273.01,-536.74
1032,-0.55,-1.61,-1.94,-43.64,176.45,-421.51
1052,-0.07,-1.97,-1.74,-74.71,80.51,-258.36
1072,0.12,-1.75,-1.53,-42.48,45.78,-63.78
1092,-0.14,-0.97,-1.51,-15.01,11.23,60.24
1111,-0.38,-0.39,-1.29,-4.33,-14.89,84.23
1131,-0.44,-0.33,-1.17,4.64,-23.93,78.06
1151,-0.52,-0.25,-1.02,5.49,-19.47,76.05
1171,-0.5,0.04,-0.99,-8.18,-7.26,44.43
