time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
11,0.41,-0.07,-0.79,8.73,-23.74,19.41
31,0.42,-0.02,-0.69,26.79,-22.16,23.8
52,0.41,0.02,-0.63,19.1,-14.77,24.17
72,0.4,0.07,-0.66,-6.77,-8.97,17.46
93,0.42,0.08,-0.7,-20.26,-3.72,7.26
114,0.44,0.03,-0.79,-12.27,-0.85,0.61
134,0.46,0.01,-0.84,-5.74,-9.16,1.46
154,0.44,0.04,-0.81,-3.54,-16.3,4.46
174,0.46,0.05,-0.75,7.63,-17.46,5.62
195,0.44,0.07,-0.55,15.14,-12.94,10.44
215,0.37,0.14,-0.47,7.51,9.4,13.55
237,0.36,0.29,-0.67,-15.87,32.47,7.26
259,0.28,0.27,-0.75,-12.39,24.23,-23.38
280,0.29,0.28,-0.64,-12.39,12.15,-38.45
301,0.26,0.33,-0.56,-44.43,13.37,-56.09
321,0.21,0.36,-0.6,-63.05,24.35,-77.58
341,0.17,0.35,-0.62,-43.4,34.79,-95.09
362,0.15,0.27,-0.58,-16.17,52.73,-112.3
383,0.16,0.15,-0.64,-26.12,67.32,-133.54
403,0.13,-0.03,-0.75,-41.38,67.2,-152.16
424,0.21,-0.37,-0.82,-31.25,66.77,-157.1
444,0.21,-0.46,-0.88,-16.78,69.27,-144.84
465,0.19,-0.62,-1.01,-29.54,65.49,-138.79
486,0.27,-0.91,-1.11,-25.94,63.05,-142.58
507,0.28,-1.22,-1.15,2.5,58.47,-122.99
528,0.27,-1.29,-1.13,12.15,43.7,-80.14
549,0.26,-1.26,-1.04,2.32,30.4,-45.04
569,0.25,-1.27,-0.91,6.23,27.71,-23.93
589,0.23,-1.28,-0.81,17.46,36.25,-5.13
610,0.19,-1.27,-0.82,15.5,49.93,14.77
631,0.14,-1.26,-0.94,-5.49,58.35,35.64
651,0.08,-1.19,-0.98,-13.67,54.38,58.23
671,0.03,-1.09,-0.9,-3.78,47.67,78.43
693,-0.02,-0.96,-0.86,9.28,55.54,106.2
714,-0.09,-0.79,-0.9,13.0,62.62,123.23
735,-0.13,-0.6,-0.96,8.97,64.39,131.84
756,-0.17,-0.42,-1.0,7.63,60.42,134.77
776,-0.2,-0.2,-1.03,-0.06,55.6,129.94
796,-0.22,-0.0,-1.06,-5.62,49.87,115.11
817,-0.21,0.14,-1.06,0.06,49.44,99.0
837,-0.17,0.24,-1.12,5.43,52.49,85.82
857,-0.13,0.33,-1.22,6.59,45.29,73.73
877,-0.09,0.4,-1.22,3.17,29.79,58.23
896,-0.07,0.42,-1.13,2.08,17.76,43.46
916,-0.07,0.42,-1.03,-1.1,12.45,30.27
937,-0.07,0.42,-0.96,-1.77,13.73,16.24
957,-0.07,0.4,-0.96,8.61,18.01,0.43
977,-0.05,0.37,-0.96,21.06,16.3,-18.07
997,-0.06,0.32,-0.88,22.22,12.21,-34.79
1019,-0.09,0.29,-0.78,10.93,10.93,-48.34
1040,-0.12,0.26,-0.7,-0.37,13.12,-57.62
1062,-0.17,0.27,-0.63,-5.86,18.86,-65.0
1082,-0.21,0.28,-0.62,-12.45,25.15,-77.45
1103,-0.28,0.19,-0.66,-22.95,32.35,-98.45
1124,-0.34,0.06,-0.74,-24.6,38.64,-115.66
1145,-0.37,-0.06,-0.8,-15.5,42.36,-123.23
1166,-0.39,-0.15,-0.83,-10.86,39.92,-123.6
1186,-0.44,-0.23,-0.89,-21.91,36.38,-123.41
1208,-0.46,-0.34,-1.01,-31.13,36.13,-127.08
1229,-0.43,-0.46,-1.04,-17.76,34.79,-127.93
1249,-0.42,-0.56,-1.05,9.09,36.19,-123.72
1270,-0.4,-0.68,-1.12,29.97,44.19,-116.52
1291,-0.34,-0.83,-1.21,25.82,41.5,-103.21
1311,-0.32,-0.91,-1.25,22.77,32.1,-81.42
1332,-0.32,-0.9,-1.25,20.75,22.95,-60.18
1352,-0.33,-0.85,-1.23,17.15,16.85,-44.68
1373,-0.33,-0.8,-1.2,14.22,13.06,-30.03
1394,-0.33,-0.72,-1.18,7.63,8.06,-18.19
1415,-0.33,-0.65,-1.14,2.99,5.13,-8.54
1435,-0.32,-0.57,-1.12,8.54,5.19,1.59
1455,-0.33,-0.5,-1.07,9.95,4.7,7.75
1476,-0.33,-0.45,-1.03,4.52,2.81,14.28
1496,-0.34,-0.35,-0.98,0.49,0.37,22.03
1516,-0.36,-0.25,-0.94,-4.21,-0.61,24.29
1537,-0.38,-0.16,-0.91,-4.27,1.16,21.12
1558,-0.36,-0.15,-0.93,-3.85,2.44,15.14
1578,-0.35,-0.15,-0.92,-2.62,1.16,10.13
1599,-0.35,-0.16,-0.91,-1.46,0.31,7.45
1619,-0.35,-0.17,-0.91,-3.6,-0.06,4.76
1640,-0.34,-0.18,-0.91,-2.5,-0.24,2.99
1661,-0.34,-0.19,-0.9,2.14,0.06,4.15
1680,-0.34,-0.18,-0.91,2.99,0.12,5.49
1699,-0.34,-0.18,-0.92,3.72,-0.18,6.77
1718,-0.33,-0.17,-0.92,5.37,0.12,7.69
1737,-0.33,-0.16,-0.91,5.0,-0.18,6.29
1756,-0.33,-0.16,-0.9,4.21,1.83,5.07
1775,-0.33,-0.16,-0.93,3.91,2.44,4.94
1794,-0.34,-0.16,-0.93,2.56,0.67,4.64
1813,-0.34,-0.15,-0.93,2.69,-0.12,3.6
1832,-0.34,-0.16,-0.93,2.93,0.24,1.77
1851,-0.33,-0.17,-0.93,2.01,0.0,0.73
1870,-0.33,-0.17,-0.93,2.81,1.04,1.22
1889,-0.33,-0.17,-0.96,1.71,0.06,1.28
1909,-0.33,-0.17,-0.95,1.77,-1.83,0.43
1929,-0.33,-0.17,-0.94,3.48,-2.08,-0.55
1949,-0.33,-0.18,-0.94,4.21,-2.56,-0.31
1969,-0.34,-0.17,-0.93,1.77,-1.77,-0.61
1990,-0.34,-0.18,-0.95,-0.43,-0.79,-1.95
2011,-0.33,-0.2,-0.97,-0.67,-3.42,-2.75
2031,-0.33,-0.21,-0.96,2.32,-5.0,-1.4
