time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
3,0.39,0.59,-0.47,27.28,4.76,13.79
11,0.41,0.57,-0.43,30.21,9.95,17.33
19,0.43,0.58,-0.5,34.79,-2.93,15.14
27,0.42,0.57,-0.48,36.25,-4.39,13.55
35,0.46,0.55,-0.45,40.53,-6.04,14.16
43,0.47,0.53,-0.43,43.95,-7.08,13.12
51,0.52,0.53,-0.4,51.51,-10.86,10.19
59,0.54,0.52,-0.42,55.54,-10.86,7.93
67,0.54,0.52,-0.49,61.04,-6.9,3.72
75,0.52,0.49,-0.57,61.71,-3.48,1.89
83,0.52,0.47,-0.58,60.61,-0.18,1.65
91,0.54,0.43,-0.54,58.47,1.28,0.31
99,0.56,0.41,-0.51,58.17,-0.61,-1.34
107,0.62,0.34,-0.4,59.51,-8.61,-6.35
115,0.72,0.3,-0.25,64.76,-19.84,-16.11
123,0.76,0.28,-0.17,68.91,-24.9,-22.34
131,0.76,0.27,-0.05,81.91,-31.8,-36.5
139,0.72,0.25,-0.1,90.52,-36.13,-42.6
147,0.58,0.22,-0.28,103.27,-31.01,-49.32
155,0.48,0.2,-0.39,105.77,-26.12,-49.01
163,0.35,0.2,-0.5,107.06,-12.7,-41.2
171,0.39,0.21,-0.48,107.97,-9.52,-32.35
179,0.44,0.2,-0.43,109.19,-10.86,-30.7
187,0.56,0.17,-0.28,115.23,-19.41,-34.18
195,0.6,0.15,-0.21,121.4,-28.56,-39.12
203,0.57,0.1,-0.23,137.57,-47.49,-49.68
211,0.55,0.08,-0.43,150.76,-47.42,-53.28
219,0.56,0.1,-0.53,154.05,-37.66,-53.04
227,0.58,0.14,-0.66,156.8,-9.4,-52.61
235,0.58,0.14,-0.71,157.35,2.87,-52.92
243,0.53,0.13,-0.81,158.39,13.55,-54.87
251,0.52,0.13,-0.83,158.45,14.77,-56.15
259,0.48,0.13,-0.87,160.03,10.8,-59.88
267,0.37,0.15,-1.04,161.87,2.14,-62.56
275,0.33,0.16,-1.11,160.34,1.77,-61.77
283,0.3,0.2,-1.22,155.27,2.38,-58.9
291,0.26,0.21,-1.29,152.1,0.55,-57.68
299,0.2,0.23,-1.42,142.7,0.0,-54.14
307,0.22,0.26,-1.5,131.96,1.22,-50.11
315,0.23,0.27,-1.51,126.77,2.26,-49.87
323,0.22,0.3,-1.57,116.94,0.61,-52.61
331,0.17,0.3,-1.62,111.69,-1.65,-53.83
339,0.07,0.31,-1.72,98.57,-2.01,-52.06
347,0.03,0.33,-1.76,91.19,-1.16,-49.62
355,-0.08,0.36,-1.84,74.52,0.18,-42.24
363,-0.11,0.37,-1.9,57.8,-0.98,-32.9
371,-0.11,0.37,-1.88,49.32,-2.69,-29.48
379,-0.09,0.39,-1.77,34.55,-14.16,-25.94
387,-0.08,0.38,-1.71,28.93,-23.44,-25.7
395,-0.11,0.37,-1.61,19.53,-42.05,-27.1
403,-0.15,0.37,-1.57,15.56,-48.58,-26.98
411,-0.24,0.35,-1.55,9.09,-53.53,-22.28
419,-0.28,0.35,-1.55,3.23,-47.97,-13.0
427,-0.3,0.34,-1.54,-0.06,-41.87,-7.63
435,-0.34,0.32,-1.46,-6.16,-28.08,3.3
443,-0.35,0.32,-1.41,-8.24,-23.68,8.79
451,-0.36,0.3,-1.33,-9.34,-18.07,18.86
459,-0.43,0.29,-1.25,-8.73,-17.7,28.2
467,-0.45,0.29,-1.21,-7.63,-19.29,34.06
475,-0.42,0.28,-1.17,-3.05,-23.86,45.35
483,-0.41,0.28,-1.18,-0.85,-25.82,49.62
491,-0.42,0.28,-1.28,0.43,-24.23,58.23
499,-0.44,0.26,-1.32,-1.4,-21.3,63.54
507,-0.41,0.24,-1.3,-8.0,-17.33,75.38
515,-0.37,0.23,-1.27,-12.51,-21.97,85.27
523,-0.35,0.23,-1.28,-14.34,-26.06,89.6
531,-0.32,0.17,-1.28,-18.68,-31.01,99.85
539,-0.29,0.16,-1.27,-20.32,-33.51,104.98
547,-0.21,0.13,-1.29,-23.01,-37.84,115.6
