time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
3,0.42,0.38,-0.32,32.41,-5.37,12.33
11,0.41,0.42,-0.48,35.46,-5.13,10.25
19,0.44,0.42,-0.3,45.84,-8.67,5.19
27,0.43,0.36,-0.3,50.96,-4.7,3.36
35,0.42,0.31,-0.32,58.53,0.06,2.32
43,0.4,0.27,-0.36,64.39,3.85,2.62
51,0.38,0.28,-0.39,66.71,2.93,3.6
59,0.32,0.24,-0.57,68.66,4.7,5.43
67,0.31,0.24,-0.62,66.35,4.94,7.87
75,0.34,0.23,-0.61,60.55,10.56,12.33
83,0.36,0.23,-0.57,58.17,13.06,13.79
91,0.4,0.21,-0.42,58.59,14.1,14.47
99,0.49,0.17,-0.31,66.47,11.6,12.7
107,0.54,0.14,-0.27,72.57,12.21,10.86
115,0.59,0.14,-0.24,86.85,13.49,6.1
123,0.59,0.12,-0.28,93.38,11.72,4.15
131,0.56,0.13,-0.4,103.52,13.24,1.83
139,0.52,0.13,-0.55,106.87,14.83,2.69
147,0.51,0.13,-0.61,106.38,17.4,3.91
155,0.53,0.11,-0.69,104.92,19.96,6.29
163,0.55,0.1,-0.71,104.61,19.78,6.65
171,0.59,0.11,-0.73,104.31,15.56,4.64
179,0.61,0.11,-0.75,104.31,11.66,2.87
187,0.66,0.12,-0.72,104.06,5.49,-1.46
195,0.7,0.14,-0.66,108.58,2.93,-5.92
203,0.71,0.16,-0.67,112.98,3.72,-7.75
211,0.71,0.19,-0.76,124.45,9.83,-11.47
219,0.71,0.2,-0.83,129.88,13.24,-13.12
227,0.68,0.23,-1.0,137.88,19.84,-15.26
235,0.66,0.24,-1.1,140.2,23.44,-16.11
243,0.61,0.24,-1.27,140.32,31.13,-16.97
251,0.57,0.24,-1.38,135.5,38.02,-17.03
259,0.54,0.25,-1.43,131.53,39.86,-17.03
267,0.46,0.26,-1.45,121.03,41.2,-16.85
275,0.44,0.28,-1.44,116.82,38.15,-16.97
283,0.42,0.3,-1.45,109.07,26.92,-19.29
291,0.37,0.31,-1.46,102.05,16.17,-24.48
299,0.31,0.31,-1.45,98.63,12.33,-26.79
307,0.24,0.29,-1.43,93.14,3.66,-27.4
315,0.21,0.29,-1.42,91.19,1.04,-26.55
323,0.17,0.28,-1.44,87.28,5.13,-22.71
331,0.15,0.28,-1.47,84.53,9.09,-20.2
339,0.09,0.27,-1.54,76.29,21.55,-13.12
347,0.06,0.27,-1.56,64.64,31.13,-5.25
355,0.06,0.27,-1.53,58.96,30.58,-2.5
363,0.07,0.29,-1.48,49.99,20.08,0.31
371,0.07,0.29,-1.45,46.81,13.12,0.49
379,0.09,0.32,-1.46,41.69,-1.28,0.98
387,0.06,0.33,-1.54,34.61,-9.58,2.26
395,0.04,0.34,-1.59,29.36,-12.08,3.78
403,0.02,0.34,-1.59,16.66,-15.62,7.39
411,0.03,0.35,-1.56,11.11,-16.6,9.46
419,0.02,0.33,-1.5,2.01,-18.13,11.6
427,-0.0,0.32,-1.47,-1.65,-17.09,12.76
435,-0.07,0.3,-1.43,-7.81,-16.6,16.91
443,-0.11,0.28,-1.38,-12.76,-13.31,24.35
451,-0.12,0.27,-1.37,-14.4,-12.15,28.5
459,-0.14,0.24,-1.34,-18.37,-11.29,36.56
467,-0.13,0.22,-1.31,-20.14,-12.21,40.89
475,-0.1,0.19,-1.25,-22.71,-14.89,48.46
483,-0.05,0.15,-1.18,-24.11,-17.27,54.99
491,-0.02,0.13,-1.15,-24.54,-17.46,58.17
499,0.04,0.1,-1.05,-24.78,-17.46,63.23
507,0.06,0.09,-1.02,-23.74,-19.47,65.31
515,0.1,0.06,-1.01,-21.48,-22.28,69.34
523,0.12,0.06,-1.01,-21.06,-22.09,71.66
531,0.21,0.01,-1.02,-21.61,-18.68,76.66
539,0.27,-0.05,-1.0,-23.01,-10.74,80.14
547,0.32,-0.07,-0.97,-24.17,-7.57,82.28
555,0.42,-0.11,-0.87,-25.82,-3.48,86.24
563,0.5,-0.09,-0.79,-25.51,-1.89,88.13
571,0.71,-0.03,-0.69,-21.48,-1.71,89.84
579,0.89,0.03,-0.7,-13.92,-1.65,84.66
587,0.94,0.05,-0.76,-9.77,-0.24,79.77
595,1.0,0.08,-0.93,-5.74,5.0,70.86
603,1.01,0.07,-1.0,-6.65,9.22,66.89
611,1.0,0.07,-1.07,-12.7,15.75,59.45
619,0.98,0.07,-1.08,-16.6,16.05,55.97
627,0.99,0.06,-1.09,-24.05,13.31,49.99
635,1.0,0.04,-1.03,-30.58,8.61,42.48
643,1.0,0.03,-0.99,-32.29,3.85,38.21
651,1.0,0.03,-0.92,-33.69,-5.13,29.79
659,1.0,0.05,-0.89,-33.69,-5.92,26.18
667,1.0,0.06,-0.83,-33.33,-0.73,19.23
675,0.98,0.06,-0.79,-32.1,2.69,15.69
683,0.94,0.08,-0.78,-27.34,6.71,7.87
691,0.85,0.09,-0.83,-24.05,13.55,1.4
699,0.8,0.09,-0.85,-23.68,17.76,-0.43
707,0.71,0.09,-0.86,-24.17,22.09,-3.17
715,0.67,0.1,-0.88,-24.72,21.0,-4.21
723,0.59,0.11,-0.97,-28.32,15.2,-5.49
731,0.55,0.11,-0.99,-36.8,10.38,-5.31
739,0.54,0.11,-0.95,-41.02,7.32,-5.49
