time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
10,0.2,-0.33,1.15,20.02,-12.08,-1.28
34,0.23,0.1,0.99,10.86,3.48,14.65
58,0.26,0.24,0.87,12.76,-3.85,-19.47
82,0.23,-0.36,0.91,19.59,-12.33,-28.44
106,0.26,-0.34,1.02,22.77,-14.89,-9.09
130,0.32,-0.02,0.97,23.13,-5.86,1.95
154,0.29,-0.1,0.94,23.44,-7.39,-16.3
178,0.22,-0.38,0.97,13.49,-1.34,-18.49
202,0.18,-0.51,0.87,4.52,0.37,0.92
226,0.16,-0.54,0.92,7.08,-11.17,20.75
250,0.15,-0.33,1.08,22.16,-11.96,38.51
274,0.09,-0.31,0.97,14.22,1.71,26.25
298,0.02,-0.5,0.94,-1.65,6.77,15.62
322,-0.05,-0.71,0.97,6.29,9.34,19.17
346,-0.15,-0.83,0.9,23.74,7.63,36.25
370,-0.23,-0.88,0.86,41.08,1.59,53.1
394,-0.29,-1.01,0.81,28.69,-16.36,90.7
418,-0.36,-1.18,1.07,30.64,-21.18,127.32
442,-0.44,-1.27,1.02,32.35,-15.01,212.71
466,-0.76,-1.81,1.04,4.94,-11.66,306.34
490,-1.12,-1.24,0.93,-4.64,-11.72,440.43
514,-1.45,-0.41,0.92,49.32,-43.64,562.01
538,-1.57,0.34,1.06,55.54,-62.44,583.19
562,-1.5,0.63,1.41,11.23,-57.07,580.63
586,-1.24,1.29,1.27,-0.37,7.45,531.86
610,-0.65,1.74,0.97,38.21,6.65,446.35
634,-0.4,1.82,0.82,-17.64,12.76,317.26
658,-0.03,2.1,0.93,-22.4,1.83,220.89
682,0.05,1.74,1.03,8.24,1.22,115.3
706,-0.01,1.22,0.85,29.17,5.86,13.12
730,-0.08,0.63,0.95,16.36,-3.3,-12.63
754,-0.06,0.4,0.96,5.43,1.59,-14.28
778,-0.01,0.35,0.94,0.55,0.24,-4.27
802,0.07,0.4,1.08,3.97,-1.89,-1.95
826,0.11,0.39,0.99,4.03,4.21,-4.52
850,0.17,0.35,1.04,7.39,0.12,-7.75
874,0.2,0.34,0.96,7.02,4.94,-11.35
898,0.2,0.31,0.96,-3.78,-2.14,-17.03
922,0.19,0.21,1.03,-5.92,-1.22,-17.4
946,0.2,0.21,1.04,-2.56,2.08,-14.1
970,0.21,0.24,0.96,1.71,9.4,-11.72
994,0.23,0.23,0.91,1.71,4.94,-12.33
1018,0.23,0.26,0.92,2.75,4.64,-15.14
1042,0.24,0.2,0.91,4.15,1.59,-18.25
