time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
11,-0.08,-0.22,-1.44,56.88,-26.73,-34.85
31,0.0,-0.39,-1.25,26.49,-33.81,-8.06
51,-0.01,-0.24,-1.05,-7.51,-37.96,8.67
71,-0.08,-0.09,-0.8,-7.81,-29.36,13.06
91,-0.06,0.06,-0.87,1.4,-17.27,-2.01
111,-0.06,-0.1,-1.06,3.72,-22.46,-16.91
131,-0.02,-0.34,-1.26,-19.65,-37.9,-8.61
151,0.08,-0.48,-1.49,-10.62,-64.15,28.99
171,0.13,-0.17,-2.12,36.19,-116.46,55.18
191,-0.17,0.07,-1.79,43.76,-175.29,18.13
211,0.08,-0.26,-1.52,11.41,-171.39,-0.31
231,0.16,-0.33,-1.94,-65.12,-196.96,11.54
251,0.11,-0.3,-1.65,-99.91,-269.65,39.0
271,0.09,-0.26,-1.47,-84.29,-293.82,62.68
291,0.13,-0.27,-1.24,-32.29,-300.42,80.26
311,0.2,-0.28,-0.98,-16.24,-312.19,92.04
331,0.18,-0.19,-0.83,-52.37,-330.44,101.32
351,0.11,-0.07,-0.8,-87.65,-351.87,93.32
371,0.12,0.01,-0.43,-100.22,-370.0,64.33
390,0.22,0.03,-0.02,-106.45,-349.61,34.97
410,0.29,-0.06,0.19,-110.05,-303.59,22.64
430,0.32,-0.09,0.36,-110.96,-261.78,28.69
450,0.3,-0.01,0.56,-105.77,-214.97,38.09
470,0.29,0.1,0.67,-85.45,-153.87,31.62
491,0.33,-0.0,0.67,-76.6,-88.99,10.86
511,0.33,-0.06,0.69,-90.39,-45.04,3.6
531,0.32,-0.01,0.71,-93.14,-3.48,0.55
551,0.29,0.06,0.65,-69.21,47.3,-6.53
571,0.26,0.13,0.75,-37.23,100.1,-22.77
591,0.26,0.01,0.75,-55.85,166.81,-53.53
611,0.24,-0.15,0.57,-83.5,254.88,-73.06
632,0.09,-0.15,0.17,-93.26,351.75,-82.46
652,-0.06,-0.17,-0.33,-48.77,431.7,-95.15
672,-0.19,-0.04,-0.68,27.59,470.21,-104.55
692,-0.26,-0.02,-1.08,57.92,486.14,-136.78
712,-0.18,-0.31,-1.73,75.07,475.83,-172.06
733,0.07,-0.57,-2.08,123.23,391.24,-154.97
753,0.16,-0.47,-1.9,125.06,255.19,-82.09
773,0.01,-0.24,-1.51,92.59,170.41,-43.09
793,0.02,-0.2,-1.4,33.69,148.93,-64.09
812,0.06,-0.27,-1.47,-29.79,135.74,-84.66
832,0.13,-0.41,-1.59,-25.88,112.79,-62.32
852,0.12,-0.32,-1.6,22.89,96.62,-26.61
872,0.03,-0.21,-1.46,37.35,78.61,-26.79
892,0.02,-0.26,-1.29,11.29,64.58,-46.75
912,0.06,-0.39,-1.25,-9.22,56.76,-43.21
932,0.06,-0.42,-1.25,-15.14,50.23,-21.36
952,0.03,-0.4,-1.22,-16.66,40.1,-7.81
972,-0.03,-0.4,-1.16,-22.16,29.85,-2.38
993,-0.06,-0.39,-1.18,-25.57,25.94,5.8
1013,-0.07,-0.33,-1.23,-23.01,19.65,19.53
