time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
3,-0.1,-0.1,-1.11,31.92,20.02,7.02
11,0.01,-0.01,-1.31,29.54,17.76,2.87
19,-0.06,0.02,-1.46,31.19,0.67,-1.83
27,-0.19,-0.05,-1.68,26.67,1.77,-6.1
35,-0.24,-0.02,-1.78,23.68,2.44,-5.13
43,-0.34,0.01,-1.92,13.61,13.24,0.06
51,-0.37,0.03,-1.99,1.95,18.43,9.89
59,-0.36,0.04,-2.02,-5.37,17.21,15.2
67,-0.33,0.05,-2.03,-22.52,9.83,24.41
75,-0.31,0.03,-2.02,-30.7,6.23,29.24
83,-0.26,-0.02,-1.98,-45.59,0.79,38.27
91,-0.23,-0.04,-1.95,-52.19,-1.71,41.69
99,-0.19,-0.07,-1.89,-63.6,-5.86,46.94
107,-0.13,-0.11,-1.84,-72.88,-7.32,51.45
115,-0.1,-0.12,-1.8,-76.29,-6.04,53.47
123,-0.05,-0.14,-1.73,-80.08,-4.09,55.73
131,-0.01,-0.16,-1.7,-81.73,-4.33,55.54
139,0.04,-0.17,-1.64,-85.45,-5.43,52.86
147,0.05,-0.17,-1.61,-86.43,-7.32,50.78
155,0.06,-0.19,-1.56,-88.38,-13.49,46.51
163,0.07,-0.19,-1.53,-92.9,-18.31,43.15
171,0.08,-0.2,-1.51,-95.58,-20.39,41.26
179,0.08,-0.21,-1.47,-101.32,-25.7,37.35
187,0.07,-0.22,-1.44,-104.06,-27.4,35.64
195,0.06,-0.22,-1.37,-108.15,-27.89,33.51
203,0.06,-0.22,-1.29,-110.47,-24.78,34.24
211,0.06,-0.22,-1.25,-111.02,-22.95,35.71
219,0.08,-0.22,-1.16,-112.3,-21.18,38.76
227,0.1,-0.22,-1.13,-112.92,-21.73,39.55
235,0.13,-0.23,-1.07,-113.89,-23.8,39.67
243,0.15,-0.24,-1.04,-114.2,-24.05,39.12
251,0.16,-0.25,-0.95,-113.89,-23.25,36.56
259,0.17,-0.25,-0.85,-112.85,-22.64,34.06
267,0.18,-0.25,-0.81,-111.51,-23.56,32.78
275,0.2,-0.23,-0.75,-106.87,-23.8,29.91
283,0.21,-0.23,-0.74,-103.94,-22.58,28.5
291,0.21,-0.21,-0.72,-98.33,-17.82,24.35
299,0.16,-0.18,-0.7,-94.42,-11.66,21.67
307,0.14,-0.17,-0.67,-92.96,-8.12,21.18
315,0.12,-0.12,-0.59,-91.67,-5.62,20.51
323,0.12,-0.09,-0.55,-91.43,-6.9,19.78
331,0.11,-0.04,-0.48,-90.09,-11.17,18.62
339,0.1,-0.02,-0.44,-88.81,-14.16,18.55
347,0.09,-0.01,-0.38,-85.27,-21.73,18.98
355,0.09,0.01,-0.38,-78.12,-27.53,19.47
363,0.09,0.02,-0.39,-73.79,-27.28,19.47
371,0.08,0.03,-0.41,-64.33,-21.55,20.81
379,0.08,0.05,-0.43,-59.33,-17.4,21.12
387,0.08,0.08,-0.48,-50.48,-11.6,19.96
395,0.07,0.11,-0.53,-45.59,-9.22,17.33
403,0.06,0.13,-0.54,-44.62,-9.03,16.17
411,0.04,0.15,-0.55,-42.91,-10.44,15.5
419,0.03,0.15,-0.56,-41.93,-11.29,15.75
427,0.03,0.17,-0.57,-39.92,-11.78,16.48
435,0.04,0.18,-0.57,-38.57,-11.05,16.24
443,0.04,0.21,-0.59,-35.22,-9.64,15.32
451,0.01,0.23,-0.61,-32.71,-8.18,13.85
459,-0.01,0.24,-0.62,-31.62,-8.12,13.67
467,-0.03,0.27,-0.62,-30.58,-8.06,14.28
475,-0.04,0.28,-0.63,-29.66,-8.36,15.14
483,-0.05,0.29,-0.62,-28.44,-8.36,17.7
491,-0.02,0.29,-0.62,-26.49,-9.46,20.32
499,0.01,0.28,-0.61,-25.45,-10.93,19.9
507,0.04,0.28,-0.62,-23.25,-13.49,17.03
515,0.04,0.27,-0.62,-21.67,-14.22,15.01
523,0.02,0.29,-0.62,-18.13,-14.22,10.56
531,-0.0,0.3,-0.62,-16.3,-13.73,8.97
539,-0.04,0.3,-0.62,-12.94,-11.72,6.96
547,-0.05,0.32,-0.61,-10.07,-10.93,6.53
555,-0.06,0.33,-0.61,-8.85,-11.84,6.35
563,-0.07,0.33,-0.6,-7.26,-14.04,6.29
571,-0.07,0.34,-0.59,-6.59,-15.38,6.35
579,-0.07,0.33,-0.58,-5.37,-19.65,5.68
587,-0.07,0.33,-0.58,-4.58,-21.97,4.94
595,-0.08,0.33,-0.59,-3.17,-24.05,4.33
603,-0.1,0.33,-0.58,-0.67,-23.32,4.39
611,-0.1,0.34,-0.57,0.73,-22.83,4.03
619,-0.12,0.35,-0.57,3.6,-21.67,3.3
627,-0.12,0.35,-0.56,5.43,-20.63,3.6
635,-0.14,0.37,-0.54,9.7,-17.94,3.66
643,-0.18,0.38,-0.54,14.71,-16.24,5.49
651,-0.2,0.39,-0.55,16.6,-15.81,6.59
659,-0.21,0.39,-0.55,19.04,-17.88,8.73
667,-0.22,0.4,-0.56,19.17,-20.2,9.83
675,-0.23,0.37,-0.55,19.17,-22.83,11.29
683,-0.23,0.35,-0.54,19.35,-22.95,12.33
691,-0.22,0.31,-0.5,21.73,-20.08,14.34
699,-0.19,0.3,-0.43,26.18,-15.32,15.81
707,-0.18,0.29,-0.4,29.3,-12.45,16.54
715,-0.15,0.28,-0.34,36.5,-9.83,18.01
723,-0.15,0.28,-0.32,40.22,-11.23,18.43
731,-0.15,0.27,-0.32,47.3,-18.92,18.98
739,-0.17,0.25,-0.38,54.02,-28.2,18.49
747,-0.18,0.24,-0.42,56.34,-32.71,18.37
755,-0.21,0.21,-0.49,59.63,-38.45,18.98
763,-0.21,0.19,-0.51,60.67,-40.16,19.65
771,-0.2,0.17,-0.55,63.48,-40.28,20.75
779,-0.19,0.17,-0.55,65.49,-37.72,21.24
787,-0.19,0.14,-0.55,70.62,-28.2,22.34
795,-0.17,0.12,-0.54,77.09,-18.86,23.19
803,-0.17,0.12,-0.54,79.83,-16.36,23.25
811,-0.17,0.09,-0.55,84.35,-15.62,23.56
819,-0.18,0.08,-0.55,86.49,-16.66,24.11
827,-0.18,0.07,-0.58,89.72,-21.18,25.39
835,-0.2,0.06,-0.64,92.35,-29.24,26.73
843,-0.21,0.05,-0.69,93.44,-34.36,27.4
851,-0.23,0.05,-0.79,94.12,-40.59,28.93
859,-0.24,0.04,-0.83,93.87,-41.87,30.15
867,-0.25,-0.0,-0.89,94.42,-39.25,32.17
875,-0.23,-0.01,-0.9,95.03,-35.83,33.45
883,-0.2,-0.03,-0.9,97.11,-26.55,36.13
891,-0.17,-0.06,-0.91,101.32,-20.51,37.41
899,-0.16,-0.07,-0.93,103.33,-19.65,37.29
907,-0.14,-0.1,-0.99,104.55,-19.84,36.74
915,-0.14,-0.12,-1.01,104.55,-20.39,36.68
923,-0.14,-0.17,-1.06,104.43,-23.44,36.93
931,-0.13,-0.17,-1.1,104.68,-25.63,37.35
939,-0.1,-0.16,-1.19,104.25,-30.46,38.02
947,-0.06,-0.18,-1.31,102.66,-33.63,37.05
955,-0.03,-0.18,-1.37,101.93,-31.25,35.58
963,0.01,-0.21,-1.44,102.48,-15.44,31.74
971,0.0,-0.21,-1.46,103.82,-6.35,29.11
979,-0.03,-0.19,-1.54,105.35,6.29,23.68
987,-0.08,-0.16,-1.62,102.48,12.39,20.51
995,-0.1,-0.16,-1.67,99.61,14.1,20.08
1003,-0.11,-0.14,-1.72,91.37,15.69,19.71
1011,-0.12,-0.14,-1.73,86.36,16.36,20.02
1019,-0.12,-0.14,-1.72,76.11,17.52,22.28
1027,-0.1,-0.14,-1.71,70.92,17.33,23.32
1035,-0.07,-0.15,-1.66,61.28,16.36,24.35
1043,-0.04,-0.16,-1.63,54.02,14.89,24.05
1051,-0.04,-0.16,-1.62,51.7,14.71,23.38
1059,-0.05,-0.16,-1.62,47.24,15.08,21.24
