time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
3,-0.16,-0.02,-1.4,4.03,4.64,1.16
11,-0.12,-0.03,-0.89,2.01,9.28,1.95
19,-0.12,-0.02,-1.11,0.79,8.0,2.81
27,-0.12,-0.03,-1.08,-1.22,7.32,2.5
35,-0.13,-0.05,-1.04,-3.78,3.54,1.59
43,-0.12,-0.05,-1.01,-3.48,-2.93,1.04
51,-0.11,-0.05,-1.0,-2.81,-3.97,0.92
59,-0.1,-0.05,-0.99,-1.59,-3.36,0.37
67,-0.11,-0.05,-0.99,-1.04,-1.59,0.43
75,-0.12,-0.05,-0.99,-0.43,1.95,1.28
83,-0.11,-0.04,-1.01,-0.12,2.08,2.08
91,-0.11,-0.03,-1.03,-0.31,1.16,1.65
99,-0.11,-0.03,-1.05,-1.22,-0.85,0.12
107,-0.12,-0.03,-1.06,-1.83,-0.98,-0.24
115,-0.14,-0.02,-1.09,-2.93,0.43,0.12
123,-0.14,-0.02,-1.11,-3.91,1.53,0.49
131,-0.17,-0.01,-1.14,-6.29,3.97,1.1
139,-0.18,-0.01,-1.16,-9.16,5.55,2.87
147,-0.19,0.0,-1.16,-10.44,6.1,4.09
155,-0.16,0.01,-1.16,-12.63,6.47,5.68
163,-0.15,0.02,-1.16,-13.31,6.29,5.8
171,-0.17,0.02,-1.18,-12.76,5.68,4.15
179,-0.22,0.02,-1.21,-11.72,3.66,2.56
187,-0.24,0.02,-1.23,-11.47,2.14,2.44
195,-0.28,0.02,-1.29,-12.33,3.48,4.46
203,-0.29,0.03,-1.31,-13.24,6.16,6.41
211,-0.31,0.04,-1.36,-16.78,12.15,11.29
219,-0.3,0.04,-1.38,-19.47,14.71,13.92
227,-0.26,0.04,-1.39,-25.82,15.99,18.49
235,-0.22,0.04,-1.37,-31.25,11.54,19.29
243,-0.21,0.04,-1.36,-34.0,7.02,18.62
251,-0.19,0.03,-1.33,-37.9,-2.5,17.21
259,-0.19,0.03,-1.32,-39.61,-4.7,16.66
267,-0.19,0.03,-1.28,-42.18,-3.11,16.6
275,-0.21,0.04,-1.25,-43.88,-1.34,17.76
283,-0.21,0.04,-1.24,-44.68,-1.34,18.68
291,-0.21,0.04,-1.21,-46.45,-0.92,20.39
299,-0.22,0.04,-1.2,-47.18,-1.59,21.3
307,-0.2,0.03,-1.17,-48.77,-2.75,23.56
315,-0.18,0.03,-1.16,-49.44,-3.05,24.78
323,-0.15,0.04,-1.14,-50.72,-4.27,26.18
331,-0.14,0.04,-1.12,-52.43,-6.65,26.67
339,-0.13,0.05,-1.1,-53.41,-8.18,26.55
347,-0.11,0.04,-1.08,-54.69,-12.63,25.7
355,-0.1,0.04,-1.06,-55.18,-14.71,25.15
363,-0.09,0.04,-1.03,-55.18,-15.62,24.29
371,-0.08,0.05,-1.02,-54.99,-14.83,24.11
