time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
3,-0.81,-0.13,-0.64,16.05,-16.42,-13.0
11,-0.72,-0.09,-0.6,14.83,-10.44,-14.16
19,-0.8,-0.08,-0.75,18.62,-18.13,-14.28
27,-0.8,-0.1,-0.76,18.43,-15.01,-13.55
35,-0.8,-0.1,-0.82,17.4,-10.44,-10.07
43,-0.78,-0.11,-0.85,12.57,-6.1,-6.96
51,-0.77,-0.12,-0.87,9.77,-5.62,-6.53
59,-0.76,-0.13,-0.88,4.09,-3.91,-6.29
67,-0.75,-0.14,-0.89,1.65,-3.85,-6.84
75,-0.73,-0.14,-0.91,-3.78,-5.13,-9.22
83,-0.73,-0.14,-0.92,-6.65,-5.55,-10.86
91,-0.72,-0.14,-0.95,-12.57,-5.43,-14.83
99,-0.71,-0.14,-0.97,-19.35,-5.19,-19.78
107,-0.71,-0.14,-0.98,-22.83,-5.07,-22.71
115,-0.73,-0.13,-1.0,-30.82,-5.49,-28.99
123,-0.75,-0.12,-1.02,-35.46,-5.92,-31.86
131,-0.8,-0.1,-1.01,-45.23,-4.33,-35.95
139,-0.82,-0.1,-0.99,-49.62,-2.87,-36.99
147,-0.86,-0.09,-0.95,-56.34,-1.71,-38.33
155,-0.9,-0.09,-0.93,-61.04,-2.87,-38.64
163,-0.92,-0.08,-0.92,-63.29,-3.3,-38.21
171,-0.97,-0.07,-0.92,-67.87,-4.27,-36.56
179,-1.0,-0.06,-0.91,-70.13,-4.94,-35.28
187,-1.06,-0.05,-0.89,-75.13,-6.77,-31.07
195,-1.14,-0.03,-0.89,-79.77,-8.18,-24.29
203,-1.18,-0.02,-0.89,-82.34,-9.03,-19.71
211,-1.25,-0.01,-0.9,-88.5,-9.16,-8.97
219,-1.27,-0.01,-0.89,-92.35,-8.54,-2.99
227,-1.3,-0.01,-0.87,-100.16,-6.04,9.46
235,-1.29,-0.01,-0.86,-103.52,-4.58,15.56
243,-1.27,-0.02,-0.84,-111.33,-3.85,26.06
251,-1.27,-0.03,-0.83,-120.48,-5.31,34.0
259,-1.28,-0.02,-0.81,-125.12,-6.1,37.72
267,-1.3,-0.01,-0.79,-134.16,-6.23,46.08
275,-1.3,-0.01,-0.76,-138.49,-4.88,50.48
283,-1.27,-0.03,-0.66,-145.63,-0.92,59.45
291,-1.25,-0.04,-0.51,-146.3,1.46,67.38
299,-1.26,-0.03,-0.45,-142.46,1.71,71.23
307,-1.26,-0.01,-0.37,-129.27,2.2,79.83
315,-1.26,0.01,-0.35,-122.01,2.99,85.02
323,-1.25,0.05,-0.35,-109.62,4.64,96.31
331,-1.24,0.08,-0.36,-105.41,5.74,102.36
339,-1.21,0.1,-0.36,-101.75,9.28,114.81
347,-1.15,0.12,-0.34,-101.56,17.09,125.18
355,-1.11,0.12,-0.32,-101.99,22.77,129.39
363,-1.04,0.13,-0.29,-102.29,32.78,135.38
371,-1.03,0.14,-0.3,-102.17,36.07,137.45
379,-1.03,0.17,-0.27,-103.94,39.25,143.68
387,-1.01,0.18,-0.22,-107.06,41.99,153.44
395,-0.99,0.16,-0.17,-108.52,41.26,158.14
403,-0.96,0.15,-0.04,-109.25,29.79,165.53
411,-0.95,0.15,0.0,-107.18,20.69,168.76
419,-0.9,0.14,0.08,-99.06,3.78,173.83
427,-0.87,0.15,0.12,-93.93,-5.74,175.84
435,-0.81,0.17,0.15,-80.44,-23.07,178.71
443,-0.71,0.17,0.13,-64.03,-28.56,179.93
451,-0.65,0.16,0.11,-56.21,-27.4,178.89
459,-0.52,0.16,0.07,-41.02,-17.58,173.1
467,-0.47,0.16,0.06,-33.57,-8.12,167.79
475,-0.37,0.18,0.04,-19.17,14.83,155.4
483,-0.32,0.19,0.05,-12.63,26.0,148.44
491,-0.25,0.19,0.08,-0.73,41.81,132.87
499,-0.18,0.19,0.13,9.46,44.19,116.21
507,-0.15,0.19,0.16,14.47,40.22,107.12
515,-0.12,0.2,0.23,27.53,21.12,88.5
523,-0.11,0.21,0.22,36.13,7.63,79.16
531,-0.11,0.23,0.16,55.05,-16.72,63.23
539,-0.07,0.21,0.08,72.08,-27.47,49.93
547,-0.01,0.18,0.07,79.77,-28.14,42.72
555,0.09,0.13,0.02,97.05,-29.79,22.46
563,0.12,0.11,-0.03,107.42,-30.88,9.7
571,0.13,0.08,-0.13,127.75,-24.54,-17.94
579,0.13,0.06,-0.17,135.99,-17.4,-32.04
587,0.13,0.05,-0.23,150.09,-9.89,-60.36
595,0.12,-0.0,-0.25,163.09,-11.6,-88.2
603,0.12,-0.02,-0.27,169.19,-18.13,-102.66
611,0.09,-0.07,-0.35,181.58,-41.75,-134.16
619,0.04,-0.08,-0.44,186.89,-57.43,-150.51
627,-0.15,-0.08,-0.64,192.81,-78.37,-179.38
635,-0.33,-0.08,-0.8,191.83,-77.51,-196.29
643,-0.37,-0.11,-0.83,189.64,-73.55,-201.54
651,-0.48,-0.1,-0.92,182.92,-63.6,-212.22
659,-0.51,-0.11,-0.96,182.98,-59.14,-219.48
667,-0.57,-0.13,-1.02,179.02,-55.54,-231.02
675,-0.62,-0.16,-1.06,174.87,-55.05,-236.82
683,-0.85,-0.09,-1.21,166.08,-61.28,-247.13
691,-1.18,0.02,-1.36,153.2,-56.58,-239.07
699,-1.29,0.04,-1.42,144.17,-42.48,-228.39
707,-1.42,0.09,-1.48,122.92,-19.53,-201.42
715,-1.46,0.11,-1.5,110.96,-15.01,-187.44
723,-1.57,0.08,-1.51,86.98,-16.3,-161.56
731,-1.72,0.14,-1.55,64.58,-23.44,-133.97
739,-1.8,0.18,-1.57,54.2,-23.99,-117.07
747,-1.86,0.18,-1.58,35.28,-15.81,-78.98
755,-1.84,0.17,-1.57,26.37,-10.62,-59.2
763,-1.74,0.12,-1.53,10.5,-3.66,-23.93
771,-1.68,0.11,-1.52,3.48,-3.42,-9.95
779,-1.56,0.1,-1.56,-11.35,-4.52,11.9
787,-1.45,0.08,-1.57,-30.52,-4.52,27.04
795,-1.4,0.05,-1.54,-40.65,-2.87,32.41
803,-1.31,0.0,-1.43,-57.19,2.81,39.92
811,-1.28,-0.02,-1.38,-62.26,5.86,41.38
819,-1.24,-0.03,-1.29,-67.44,9.58,41.93
827,-1.26,-0.01,-1.25,-71.23,10.13,42.72
835,-1.28,0.01,-1.23,-73.79,8.85,44.74
843,-1.34,0.05,-1.19,-80.51,3.3,53.1
851,-1.36,0.07,-1.17,-83.92,-0.18,59.33
859,-1.35,0.08,-1.12,-90.94,-6.84,74.1
867,-1.34,0.09,-1.1,-94.54,-11.23,81.54
875,-1.29,0.07,-1.08,-102.05,-19.17,94.85
883,-1.21,0.06,-1.1,-110.9,-22.46,103.39
891,-1.18,0.06,-1.11,-116.21,-21.42,105.83
899,-1.13,0.07,-1.12,-129.15,-15.5,109.25
907,-1.1,0.06,-1.1,-136.29,-10.86,110.41
915,-1.05,0.04,-1.03,-149.84,-2.56,111.21
923,-1.04,0.03,-0.98,-155.58,1.4,110.84
931,-1.02,0.03,-0.86,-162.17,8.67,110.78
939,-1.02,0.04,-0.71,-162.23,8.42,112.12
947,-1.03,0.06,-0.64,-159.79,4.76,113.53
955,-1.04,0.09,-0.54,-150.94,-4.88,117.86
963,-1.05,0.12,-0.51,-145.45,-9.7,121.46
971,-1.06,0.16,-0.5,-134.64,-17.64,130.8
979,-1.05,0.2,-0.51,-127.62,-22.71,142.58
987,-1.04,0.22,-0.53,-126.34,-22.64,148.86
995,-1.0,0.23,-0.51,-126.95,-19.41,161.5
1003,-0.96,0.23,-0.5,-128.48,-15.56,167.3
1011,-0.85,0.22,-0.48,-132.45,-9.16,174.62
1019,-0.82,0.21,-0.47,-134.77,-5.49,175.23
1027,-0.78,0.22,-0.41,-140.5,2.32,174.01
