time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
3,-0.82,0.16,-0.67,5.43,-12.39,-12.02
11,-0.75,0.13,-0.55,5.37,-13.24,-12.21
19,-0.83,0.13,-0.59,4.33,-21.12,-14.53
27,-0.82,0.14,-0.57,4.09,-19.78,-15.26
35,-0.83,0.14,-0.58,5.37,-23.44,-15.01
43,-0.83,0.12,-0.58,5.74,-24.54,-15.14
51,-0.82,0.13,-0.61,5.43,-24.9,-15.62
59,-0.82,0.14,-0.63,4.94,-24.66,-15.87
67,-0.83,0.14,-0.65,4.46,-26.12,-16.17
75,-0.85,0.14,-0.68,2.62,-26.12,-16.6
83,-0.86,0.14,-0.69,1.46,-25.45,-16.6
91,-0.88,0.14,-0.72,-1.77,-23.01,-15.87
99,-0.89,0.15,-0.73,-3.6,-21.91,-15.32
107,-0.9,0.14,-0.74,-7.51,-19.84,-14.4
115,-0.89,0.14,-0.75,-11.35,-18.25,-14.16
123,-0.89,0.13,-0.76,-13.37,-18.31,-14.4
131,-0.9,0.13,-0.77,-17.94,-18.86,-15.44
139,-0.9,0.14,-0.77,-19.9,-19.17,-16.17
147,-0.91,0.14,-0.76,-24.11,-17.46,-18.31
155,-0.93,0.13,-0.78,-26.25,-15.26,-20.75
163,-0.96,0.12,-0.79,-26.92,-13.79,-21.97
171,-0.99,0.12,-0.8,-29.3,-5.43,-23.19
179,-1.0,0.13,-0.8,-30.64,0.31,-22.83
187,-1.01,0.12,-0.78,-33.51,9.46,-20.75
195,-1.0,0.12,-0.75,-34.85,12.94,-19.78
203,-0.98,0.12,-0.72,-37.96,11.6,-17.7
211,-0.94,0.1,-0.7,-41.75,2.01,-17.33
219,-0.93,0.1,-0.7,-43.64,-3.85,-17.82
227,-0.9,0.09,-0.72,-47.97,-15.32,-20.57
235,-0.9,0.09,-0.73,-50.66,-18.86,-22.4
243,-0.94,0.1,-0.75,-56.52,-21.42,-25.15
251,-0.96,0.11,-0.75,-59.75,-20.08,-25.57
259,-1.0,0.12,-0.74,-65.86,-12.08,-23.44
267,-1.01,0.11,-0.72,-71.17,-2.14,-18.86
275,-1.0,0.11,-0.7,-73.85,1.95,-16.72
283,-0.96,0.1,-0.68,-80.63,5.25,-14.04
291,-0.94,0.09,-0.66,-84.29,4.27,-13.67
299,-0.92,0.07,-0.63,-91.67,-0.06,-15.01
307,-0.94,0.07,-0.6,-97.47,-2.81,-17.82
315,-0.97,0.07,-0.58,-99.79,-3.54,-19.1
323,-1.06,0.1,-0.49,-103.7,-4.21,-18.62
331,-1.12,0.12,-0.45,-104.25,-2.93,-16.11
339,-1.22,0.17,-0.37,-100.89,1.22,-6.04
347,-1.24,0.18,-0.33,-97.78,4.82,0.85
355,-1.28,0.2,-0.28,-89.84,11.96,18.74
363,-1.27,0.22,-0.24,-81.05,19.9,36.93
371,-1.25,0.22,-0.23,-77.03,21.97,45.04
379,-1.21,0.21,-0.23,-70.43,18.8,59.33
387,-1.19,0.22,-0.23,-68.85,14.89,65.55
395,-1.15,0.22,-0.23,-67.38,10.01,76.72
403,-1.11,0.22,-0.23,-66.71,7.14,85.39
411,-1.09,0.22,-0.22,-66.89,7.81,88.68
419,-1.04,0.22,-0.22,-67.02,13.55,94.3
427,-1.02,0.23,-0.2,-67.57,17.21,96.68
435,-1.02,0.24,-0.14,-67.69,18.68,100.83
443,-1.03,0.24,-0.12,-66.47,18.01,102.84
451,-1.03,0.24,-0.02,-62.38,16.3,108.15
459,-1.03,0.23,0.06,-54.08,10.68,113.89
467,-1.03,0.25,0.07,-46.87,7.2,116.76
475,-1.01,0.28,0.05,-32.17,0.06,124.15
483,-0.99,0.29,0.03,-26.43,-0.73,128.54
491,-0.96,0.31,0.02,-17.88,4.88,136.54
499,-0.89,0.3,0.04,-9.34,11.84,142.7
507,-0.84,0.29,0.05,-5.07,10.93,144.84
515,-0.72,0.26,0.04,4.15,7.14,143.31
523,-0.67,0.25,0.03,8.73,5.07,139.71
531,-0.6,0.27,0.01,17.76,3.11,128.91
539,-0.56,0.28,-0.01,22.89,3.78,123.6
547,-0.5,0.28,-0.03,32.23,5.37,112.18
555,-0.45,0.28,-0.06,39.43,8.06,99.79
563,-0.42,0.29,-0.05,42.24,7.02,92.9
571,-0.4,0.29,-0.05,46.33,-2.87,76.84
579,-0.4,0.29,-0.06,48.95,-10.74,68.91
587,-0.42,0.32,-0.07,53.96,-28.14,53.83
595,-0.42,0.32,-0.07,56.21,-36.01,47.67
603,-0.41,0.3,-0.1,62.01,-49.19,36.19
611,-0.39,0.3,-0.13,69.58,-56.76,23.74
619,-0.37,0.3,-0.17,73.67,-57.68,16.85
627,-0.37,0.3,-0.25,81.48,-55.3,3.05
635,-0.38,0.29,-0.29,83.98,-51.51,-3.3
643,-0.37,0.28,-0.32,86.85,-38.82,-17.7
651,-0.36,0.27,-0.31,90.15,-33.57,-33.87
659,-0.36,0.27,-0.31,92.96,-33.87,-41.5
667,-0.34,0.25,-0.33,98.88,-35.77,-55.79
675,-0.34,0.23,-0.34,101.62,-36.19,-63.29
683,-0.36,0.23,-0.38,105.83,-36.93,-79.9
691,-0.37,0.23,-0.4,107.24,-38.27,-88.5
699,-0.4,0.21,-0.45,106.81,-47.61,-105.47
707,-0.48,0.23,-0.53,101.68,-71.78,-121.15
715,-0.51,0.22,-0.55,97.66,-80.93,-128.66
723,-0.58,0.21,-0.63,87.71,-100.1,-142.33
731,-0.65,0.24,-0.68,81.85,-111.45,-148.25
739,-0.8,0.23,-0.72,68.97,-121.22,-155.03
747,-0.88,0.22,-0.71,58.53,-115.05,-156.13
755,-0.92,0.21,-0.7,55.36,-113.04,-156.01
763,-0.96,0.17,-0.69,52.12,-106.87,-155.4
771,-0.98,0.14,-0.69,51.27,-101.81,-155.94
779,-1.04,0.13,-0.72,49.68,-96.74,-157.78
