time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
3,-0.12,-0.13,0.93,-45.96,-27.83,6.41
26,-0.13,-0.16,1.07,-43.33,-29.42,-0.43
49,-0.15,-0.16,1.19,-38.02,-28.93,-9.52
72,-0.25,-0.13,1.38,-13.12,-0.92,-10.01
95,-0.23,-0.17,1.54,26.79,35.28,0.92
118,-0.1,-0.27,1.53,64.58,76.17,9.89
141,-0.1,-0.24,1.61,84.53,88.32,7.93
164,-0.13,-0.05,1.29,114.75,95.34,-0.18
187,-0.1,-0.05,1.41,128.3,70.25,-14.16
210,-0.27,0.0,1.26,140.5,51.57,-28.81
233,-0.29,0.12,1.24,145.51,42.91,-27.28
256,-0.4,0.04,1.24,155.64,9.52,-15.2
279,-0.37,0.05,1.11,166.38,14.34,-18.92
302,-0.45,0.11,1.01,168.46,-11.41,-14.34
325,-0.56,0.19,1.03,174.8,-23.5,-7.87
348,-0.47,0.22,0.87,193.42,-5.13,11.66
371,-0.41,0.28,0.67,193.66,-17.09,19.1
394,-0.39,0.31,0.58,186.34,-17.15,25.51
417,-0.32,0.33,0.41,175.17,-23.74,33.57
440,-0.17,0.38,0.15,153.69,-28.56,33.26
463,-0.09,0.42,0.13,106.08,-63.17,21.97
486,-0.12,0.46,0.16,81.3,-67.08,8.3
509,-0.12,0.46,0.09,51.88,-67.63,5.43
532,-0.02,0.44,0.09,19.9,-71.53,4.58
555,0.13,0.41,0.14,-19.96,-71.9,-12.33
578,0.09,0.37,0.19,-53.04,-48.71,-38.76
601,0.12,0.32,0.12,-83.25,-39.67,-52.92
624,0.1,0.27,0.13,-131.23,-45.41,-78.25
647,-0.0,0.23,0.21,-166.69,-46.63,-93.99
670,-0.08,0.22,0.37,-205.02,-52.98,-101.68
693,-0.15,0.27,0.69,-219.3,-84.96,-101.5
716,-0.2,0.29,0.95,-203.31,-75.87,-102.97
739,-0.23,0.25,1.05,-188.17,-60.42,-101.99
762,-0.28,0.14,1.13,-174.93,-52.0,-97.96
785,-0.38,0.13,1.2,-170.72,-61.71,-90.52
808,-0.5,0.08,1.44,-156.01,-52.8,-67.63
831,-0.48,-0.03,1.56,-118.84,-21.91,-43.21
854,-0.42,-0.13,1.58,-87.1,-9.22,-27.53
877,-0.37,-0.19,1.57,-47.55,-4.33,-16.72
900,-0.34,-0.15,1.46,-16.6,15.93,-10.86
923,-0.25,-0.19,1.35,-31.49,-30.46,-32.47
946,-0.6,-0.22,1.67,-26.0,-64.76,5.07
969,-0.24,-0.16,1.49,24.9,54.63,46.14
992,0.1,-0.2,1.23,44.62,61.95,38.76
1015,-0.04,-0.06,1.02,60.0,28.44,3.17
1038,-0.17,0.01,0.86,59.33,7.75,-5.68
1061,-0.18,0.03,0.79,48.71,10.62,5.49
1084,-0.21,0.02,0.71,25.7,11.9,8.61
1107,-0.12,0.04,0.78,6.41,7.45,16.91
1130,-0.08,0.02,0.91,-6.53,-3.66,13.37
1153,-0.07,0.03,0.93,-7.75,5.37,4.39
1176,-0.11,0.01,0.99,-9.89,-11.11,-1.28
1199,-0.14,-0.01,0.99,-9.34,-10.01,-4.46
1222,-0.18,-0.0,1.01,-12.15,-4.09,-3.42
1245,-0.15,-0.01,1.04,-12.21,-0.49,-0.55
1268,-0.16,0.0,1.07,-6.35,-1.77,-4.09
1291,-0.2,-0.01,1.06,-0.98,-3.78,-5.07
1314,-0.19,-0.02,0.99,1.89,-0.79,-3.66
1337,-0.25,-0.0,1.0,0.98,0.43,-1.95
1360,-0.25,0.0,1.0,0.79,-0.24,5.0
1383,-0.18,-0.01,0.96,0.55,5.37,9.16
1406,-0.19,-0.0,0.93,-3.36,3.42,6.65
1429,-0.22,0.01,0.97,-7.93,-3.66,10.93
1452,-0.19,0.0,0.99,-8.36,-3.85,14.77
1475,-0.13,-0.01,1.01,-6.96,-5.68,17.15
1498,-0.11,-0.03,0.99,-5.25,-3.3,11.54
1521,-0.12,-0.03,0.96,-7.08,0.37,5.31
1544,-0.16,-0.02,0.98,-10.99,-2.81,4.27
1567,-0.17,-0.01,1.02,-10.56,4.82,5.8
1590,-0.14,-0.02,1.03,-7.39,6.35,7.93
1613,-0.13,-0.03,1.02,-5.62,8.67,6.47
1636,-0.13,-0.03,1.03,-4.46,0.85,5.37
1659,-0.15,-0.03,1.04,-1.46,-1.89,3.85
1682,-0.15,-0.03,1.01,1.16,-0.49,2.44
1705,-0.17,-0.02,1.0,1.89,-0.43,2.2
1728,-0.19,-0.02,1.02,2.08,-3.3,5.86
1751,-0.17,-0.03,0.98,3.91,6.35,7.14
1774,-0.15,-0.03,0.95,-0.98,5.43,5.92
1797,-0.15,-0.02,0.99,-3.78,-3.54,5.25
1820,-0.14,-0.02,1.01,-1.65,-2.75,2.69
1843,-0.16,-0.02,0.99,0.12,1.28,1.16
1866,-0.17,-0.02,0.99,-0.37,-0.79,2.32
1889,-0.16,-0.02,1.0,-0.92,0.24,3.85
1912,-0.15,-0.03,1.01,-0.61,1.65,3.91
1935,-0.14,-0.03,1.02,1.16,2.62,1.95
1958,-0.16,-0.03,1.0,2.38,2.56,-0.18
1981,-0.17,-0.03,0.99,1.71,2.93,0.12
2004,-0.16,-0.02,1.0,1.04,1.4,0.73
2027,-0.17,-0.02,1.0,1.22,1.71,0.55
2050,-0.17,-0.02,0.99,1.22,0.79,1.16
2073,-0.17,-0.02,0.99,1.59,0.0,0.92
