time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
3,0.1,0.09,-1.01,30.64,12.57,7.81
26,0.17,0.01,-1.09,27.65,1.4,20.26
49,0.18,-0.01,-1.15,33.2,15.2,23.5
72,0.16,-0.01,-1.41,33.39,34.12,28.63
95,0.15,0.03,-1.6,17.33,30.27,25.63
118,0.16,0.03,-1.68,-11.29,12.57,25.57
141,0.24,0.08,-1.59,-24.6,-11.17,21.79
164,0.32,0.01,-1.47,-42.91,-15.75,4.94
187,0.37,-0.02,-1.31,-43.58,-33.33,-15.5
210,0.27,0.0,-1.38,-36.99,-41.63,-31.31
233,0.14,0.06,-1.37,-59.69,-44.68,-21.3
256,0.16,0.05,-1.37,-84.23,-50.35,-6.96
279,0.17,0.04,-1.21,-107.48,-48.83,-9.52
302,0.11,0.08,-1.1,-113.65,-47.97,-14.4
325,0.04,0.12,-1.0,-118.84,-44.92,-10.38
348,0.01,0.17,-1.0,-123.11,-40.65,3.36
371,0.05,0.13,-0.86,-139.71,-34.18,15.44
394,0.06,0.16,-0.69,-138.61,-42.48,17.94
417,0.1,0.22,-0.57,-122.8,-35.52,21.12
440,0.06,0.25,-0.45,-108.46,-30.76,15.14
463,0.05,0.3,-0.36,-78.98,-24.48,17.46
486,0.05,0.38,-0.32,-56.4,-28.99,12.45
509,-0.01,0.42,-0.29,-51.03,-53.96,9.28
532,-0.03,0.4,-0.28,-38.94,-68.48,10.93
555,-0.03,0.37,-0.26,-13.49,-37.9,12.51
578,-0.07,0.35,-0.36,18.86,-14.04,9.34
601,-0.13,0.36,-0.47,26.55,-16.72,10.74
624,-0.12,0.39,-0.54,27.53,-23.68,17.46
647,-0.11,0.4,-0.57,34.36,-13.67,18.92
670,-0.13,0.4,-0.6,45.29,-5.31,22.03
693,-0.13,0.38,-0.63,47.18,-15.14,28.5
716,-0.1,0.37,-0.68,51.21,-27.16,31.13
739,-0.1,0.36,-0.75,58.11,-25.33,28.08
762,-0.13,0.37,-0.78,61.83,-22.09,29.6
785,-0.11,0.33,-0.82,64.27,-24.84,38.7
808,-0.05,0.31,-0.86,67.32,-22.83,42.66
831,-0.02,0.25,-0.88,71.47,-18.19,42.24
854,-0.01,0.24,-0.91,73.43,-23.68,40.16
877,0.0,0.25,-1.0,72.81,-39.0,37.35
900,0.03,0.23,-1.03,68.12,-42.85,36.68
923,0.08,0.16,-1.06,74.89,-18.49,31.25
946,0.07,0.16,-1.14,77.88,-4.27,22.16
969,0.01,0.17,-1.18,71.72,-5.19,14.16
992,-0.03,0.2,-1.26,62.01,-14.28,13.49
1015,-0.03,0.21,-1.31,54.14,-3.72,17.03
1038,-0.01,0.18,-1.28,45.41,10.19,18.62
1061,0.02,0.17,-1.24,41.02,13.85,18.19
1084,0.06,0.13,-1.21,34.61,8.48,15.87
1107,0.08,0.11,-1.18,30.7,7.08,10.8
1130,0.06,0.09,-1.15,26.18,4.82,4.33
1153,0.03,0.08,-1.15,22.95,-1.28,0.0
1176,-0.01,0.08,-1.14,18.8,-0.98,-2.93
1199,-0.03,0.08,-1.15,15.69,-1.46,-3.17
1222,-0.05,0.07,-1.13,9.83,1.1,-4.03
1245,-0.05,0.06,-1.09,7.02,2.2,-4.46
1268,-0.06,0.06,-1.08,6.47,2.87,-4.94
1291,-0.07,0.06,-1.07,3.66,4.64,-3.3
1314,-0.06,0.05,-1.05,1.71,4.52,-1.65
1337,-0.04,0.04,-1.03,1.34,3.3,-1.77
1360,-0.04,0.04,-1.02,1.46,5.19,-1.4
1383,-0.03,0.03,-1.0,1.71,3.48,-0.92
1406,-0.02,0.03,-1.02,2.99,3.3,-1.16
1429,-0.02,0.03,-1.03,1.77,1.46,-3.42
1452,-0.03,0.03,-1.03,1.04,2.14,-4.46
1475,-0.05,0.03,-1.02,0.0,2.81,-5.19
1498,-0.05,0.03,-1.01,0.85,2.44,-4.21
1521,-0.05,0.04,-1.01,0.61,2.2,-3.23
1544,-0.05,0.04,-1.03,-1.95,-1.28,-2.87
1567,-0.04,0.03,-1.01,-0.24,3.54,-2.87
1590,-0.05,0.04,-1.04,-1.16,4.58,-3.23
1613,-0.05,0.05,-1.02,-4.39,1.95,-2.99
1636,-0.04,0.04,-1.01,-6.47,2.08,-1.77
1659,-0.04,0.04,-1.0,-4.82,2.93,-3.05
1682,-0.04,0.04,-1.01,-2.93,3.3,-2.69
1705,-0.03,0.05,-1.0,-3.6,1.16,-2.26
1728,-0.03,0.05,-1.01,-3.3,2.32,-2.44
1751,-0.03,0.05,-1.02,-7.08,2.56,-3.48
1774,-0.02,0.04,-1.01,-8.79,5.13,-3.72
1797,-0.03,0.04,-0.97,-5.55,1.22,-4.09
1820,-0.03,0.05,-1.0,-2.69,1.77,-3.36
1843,-0.03,0.05,-0.98,-3.23,1.1,-3.11
1866,-0.02,0.06,-0.98,-0.49,1.89,-2.44
1889,-0.03,0.06,-0.98,-0.92,0.24,-2.69
1912,-0.03,0.06,-0.99,1.46,1.04,-1.71
1935,-0.03,0.06,-0.99,0.49,0.98,-1.34
1958,-0.04,0.05,-1.01,0.37,0.06,-1.95
1981,-0.04,0.06,-1.01,0.85,3.23,-1.77
2004,-0.05,0.06,-1.02,-0.31,1.59,-0.79
2027,-0.04,0.06,-1.02,-0.61,3.36,0.67
2050,-0.03,0.06,-0.99,-0.73,3.11,0.55
2073,-0.03,0.06,-0.99,0.12,0.92,-0.18
2096,-0.02,0.06,-1.01,1.04,0.85,1.16
2119,-0.01,0.05,-1.0,0.37,0.0,0.18
2142,-0.01,0.04,-1.02,1.59,1.53,-1.53
2165,-0.02,0.05,-1.02,0.06,0.73,-2.81
2188,-0.03,0.05,-1.01,-0.31,-0.49,-2.75
2211,-0.03,0.06,-1.01,0.06,0.67,-1.77
2234,-0.03,0.06,-1.01,-0.18,1.28,-1.22
2257,-0.03,0.06,-1.01,0.06,0.92,-0.73
2280,-0.03,0.06,-1.01,-0.18,0.06,-0.49
