time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
11,0.09,-0.13,0.97,4.27,3.72,-3.11
35,0.13,-0.13,0.99,9.58,-2.56,13.85
59,0.19,0.01,0.98,7.87,-2.56,24.41
83,0.24,0.05,0.99,5.68,-4.64,23.93
107,0.19,0.17,1.06,5.98,-5.13,18.74
131,0.13,0.16,1.11,-4.94,10.86,-0.18
155,0.11,-0.02,1.0,-9.09,24.9,-6.71
179,0.19,-0.12,0.7,-3.17,16.05,0.61
203,0.24,-0.1,0.74,8.97,-25.09,18.43
227,0.38,0.12,1.12,17.21,-43.82,23.5
251,0.49,0.13,1.3,26.12,-33.57,17.46
275,0.59,0.12,1.24,8.73,17.21,7.63
299,0.6,0.05,0.82,-0.12,51.7,-5.25
323,0.49,-0.18,0.52,47.85,3.6,-9.03
347,0.49,-0.47,0.68,81.6,-50.9,11.41
371,0.53,-0.02,1.24,46.75,-53.34,32.23
395,0.48,0.11,1.12,18.49,-5.8,7.14
419,0.32,-0.11,0.74,38.21,-20.63,-2.2
443,0.29,-0.12,1.06,39.67,-59.2,1.4
467,0.24,-0.07,1.57,4.21,-33.14,4.46
491,0.15,0.13,1.27,29.48,13.61,1.46
515,0.16,0.06,0.93,61.4,24.29,-8.12
539,0.08,-0.12,0.73,95.58,0.79,-13.31
564,0.05,-0.03,0.77,83.37,-15.87,-13.43
588,0.01,0.17,0.83,36.93,-41.02,-31.37
612,-0.03,0.09,1.24,20.87,-49.38,-68.79
636,-0.1,-0.43,1.37,-22.46,-21.18,-86.18
660,-0.27,-0.71,1.04,-5.98,23.07,-29.36
684,-0.21,-0.39,0.73,23.8,3.3,20.69
708,-0.13,0.12,0.99,-47.73,-14.53,44.31
732,-0.22,0.49,1.15,-88.93,12.88,-4.7
756,-0.22,-0.22,0.76,-62.26,36.74,-64.7
780,-0.25,-0.6,0.68,-82.52,-8.24,-30.46
804,-0.32,-0.14,1.17,-37.29,-30.58,21.42
828,-0.22,0.18,1.12,-8.48,-7.32,37.96
852,-0.25,0.37,0.99,-8.91,8.36,8.61
876,-0.24,0.4,0.97,-27.89,16.72,-29.66
900,-0.34,0.12,0.73,11.96,14.83,-75.74
924,-0.32,-0.22,0.67,35.46,-0.31,-69.21
948,-0.25,-0.28,0.68,38.57,-7.75,-44.25
972,-0.14,-0.17,0.8,34.06,-54.87,-43.82
996,-0.2,-0.47,1.47,16.66,-52.67,-48.83
1020,-0.17,-0.59,1.3,1.65,-0.18,-23.19
1044,-0.12,-0.33,1.05,-15.2,26.31,28.63
1068,-0.05,0.12,0.92,-4.76,24.35,32.41
1092,-0.04,0.2,0.9,-8.24,4.21,1.22
