time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
11,0.22,0.01,0.99,3.11,0.12,-0.98
35,0.23,0.01,0.99,1.16,-0.67,-0.61
59,0.23,0.01,0.99,0.79,1.34,-0.12
83,0.22,0.03,0.97,1.53,-0.67,-0.43
107,0.22,0.03,1.0,2.75,-1.77,-1.46
131,0.22,0.01,0.99,2.87,-0.92,-2.32
155,0.22,-0.02,1.01,0.92,-0.61,-1.53
179,0.23,0.02,0.99,0.18,1.65,0.67
203,0.24,0.06,0.97,2.87,1.1,-2.93
227,0.22,0.01,0.98,2.62,-0.37,-8.36
251,0.21,-0.02,0.98,4.39,-0.18,-11.23
275,0.21,-0.04,0.96,5.98,-0.85,-14.34
299,0.22,-0.04,0.96,9.58,-2.08,-17.7
323,0.21,-0.03,0.92,24.9,-6.96,-35.22
347,0.15,-0.17,0.96,38.7,-13.73,-50.72
371,0.05,-0.24,0.99,52.31,-15.38,-67.02
395,-0.1,-0.45,0.95,77.33,-10.74,-104.49
419,-0.26,-1.27,0.86,79.83,-14.28,-112.06
443,-0.3,-1.81,0.78,66.59,-21.24,-72.2
467,-0.4,-1.96,0.8,43.82,-48.83,62.07
491,-0.58,-1.48,1.13,17.33,-64.51,157.53
515,-0.67,-1.19,1.36,-28.14,-36.56,256.65
539,-0.84,-0.87,1.32,-72.45,-2.5,328.37
563,-0.94,-0.25,1.14,-93.2,32.59,394.04
587,-0.89,0.33,0.74,-63.54,50.17,416.56
611,-0.53,1.19,0.66,-15.2,16.42,378.54
635,-0.26,1.47,0.88,0.49,-8.61,306.34
659,-0.07,1.54,1.03,-7.93,-5.0,173.52
683,-0.03,0.82,1.0,-3.23,7.14,107.18
707,-0.02,0.52,0.9,32.41,0.06,95.58
731,0.07,0.71,0.94,52.25,-8.61,96.31
755,0.12,0.79,0.97,49.99,-10.25,79.96
779,0.13,0.7,0.96,24.48,-7.75,44.37
803,0.14,0.45,1.03,0.55,-2.5,31.74
827,0.13,0.37,0.98,-19.65,6.71,28.2
851,0.13,0.35,0.95,-16.36,6.96,27.28
875,0.17,0.4,0.91,-9.22,4.21,22.95
899,0.17,0.37,1.0,-9.4,-0.55,10.5
923,0.19,0.28,0.9,-14.53,2.93,4.09
947,0.18,0.23,1.01,-17.15,-5.49,-0.55
971,0.16,0.17,1.02,-12.57,2.62,-2.81
995,0.14,0.14,0.94,-7.51,0.67,0.0
1019,0.14,0.13,1.02,-3.97,-6.29,3.17
1043,0.13,0.13,1.06,-10.86,2.69,5.19
1067,0.1,0.14,0.99,-11.84,5.49,7.39
1091,0.11,0.17,0.99,1.4,4.27,9.95
1115,0.12,0.19,1.02,7.39,4.09,6.04
1139,0.14,0.12,1.09,9.89,4.27,0.12
1163,0.18,0.07,1.05,9.95,14.16,-2.01
1187,0.21,0.03,0.97,8.48,12.39,0.49
1211,0.23,0.09,0.99,9.83,9.16,5.49
1235,0.25,0.17,0.98,10.13,8.12,3.78
1259,0.25,0.12,0.97,7.2,7.69,-0.43
1283,0.25,0.1,0.95,3.11,9.22,-0.49
1307,0.24,0.08,0.87,5.55,2.69,0.67
1331,0.23,0.09,0.99,6.41,-3.23,2.93
1355,0.22,0.13,0.96,1.65,1.1,3.23
1379,0.22,0.13,0.96,-0.61,-0.12,1.28
1403,0.22,0.12,0.93,-0.49,0.06,1.22
1427,0.22,0.15,0.92,1.4,-2.69,-0.43
1451,0.21,0.08,0.94,0.49,-5.86,-1.65
1475,0.2,0.1,0.99,0.06,-5.0,1.34
1499,0.21,0.15,0.99,3.3,-4.58,-0.61
1523,0.2,0.11,0.97,2.81,-3.42,-4.33
1547,0.2,0.06,0.98,0.49,-6.23,-3.6
1571,0.2,0.06,0.99,0.98,-3.23,-1.89
1595,0.2,0.06,0.97,-1.4,-2.87,-0.98
1619,0.2,0.1,1.01,-2.44,-3.42,0.06
1643,0.2,0.1,0.97,-2.08,-2.2,-1.34
1667,0.19,0.08,0.99,-2.38,-4.46,-2.75
1691,0.19,0.05,0.99,-2.26,-3.23,-1.4
1715,0.19,0.09,1.0,-1.1,-4.33,0.31
1739,0.19,0.12,1.02,0.79,-2.87,-0.37
1763,0.19,0.13,0.98,1.71,-1.89,-2.75
1787,0.18,0.09,0.98,1.22,-3.42,-4.94
1811,0.18,0.06,1.0,0.55,-3.97,-4.21
1835,0.18,0.07,1.02,-0.12,-2.75,-1.04
1859,0.18,0.12,1.01,-0.55,-0.31,0.31
1883,0.18,0.12,0.99,1.22,-0.92,-3.17
1907,0.18,0.08,1.01,1.46,0.06,-3.97
1931,0.18,0.1,0.99,3.6,1.59,-3.78
1955,0.18,0.07,0.96,3.17,0.37,-5.92
1979,0.17,0.03,0.98,4.27,-2.01,-6.35
2003,0.18,0.04,0.99,10.44,-2.87,-0.73
2027,0.19,0.09,0.98,9.16,-2.87,0.49
2051,0.19,0.09,1.02,1.83,-2.26,-0.92
2075,0.18,0.07,1.01,-1.16,1.28,-2.44
2099,0.18,0.07,0.99,1.83,0.06,-1.28
2123,0.18,0.08,1.02,1.59,-0.12,-1.4
2147,0.18,0.07,1.01,0.85,1.4,-1.4
2171,0.18,0.07,0.99,0.12,2.5,-0.55
2195,0.19,0.09,0.98,0.24,1.04,-0.55
2219,0.18,0.09,1.0,-0.85,1.53,-2.2
2243,0.18,0.08,1.01,-0.67,1.89,-2.2
2267,0.18,0.08,1.0,2.32,2.26,-1.65
2291,0.18,0.1,0.96,0.55,3.36,-2.14
2315,0.18,0.08,0.99,0.18,0.79,-3.78
2339,0.18,0.06,0.95,-0.49,3.91,-2.69
2363,0.19,0.07,0.94,-0.18,1.16,-2.08
2387,0.19,0.06,0.99,0.43,-1.28,-2.08
