time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
10,0.36,-0.05,-0.98,-4.15,-10.25,-13.0
30,0.4,-0.13,-0.95,3.3,-10.38,-12.45
50,0.41,-0.15,-0.96,10.07,-5.13,-3.17
70,0.4,-0.14,-1.04,2.69,-5.25,5.31
90,0.38,-0.09,-1.05,-8.91,-13.85,7.69
110,0.38,-0.06,-1.02,-16.78,-22.58,5.43
130,0.37,-0.07,-0.97,-25.63,-38.45,-2.44
151,0.35,-0.16,-0.62,-33.39,-48.89,-8.61
172,0.33,-0.17,-0.55,-28.02,-29.36,1.1
193,0.35,-0.04,-0.49,-12.94,15.44,0.31
213,0.36,0.04,-0.67,-37.6,28.32,-20.08
234,0.37,-0.15,-0.73,-34.42,17.33,-31.86
254,0.35,-0.31,-0.66,-31.56,12.88,-28.02
275,0.32,-0.34,-0.53,-35.22,22.95,-18.25
295,0.31,-0.3,-0.53,-33.08,37.41,-8.91
316,0.3,-0.2,-0.53,-33.75,42.85,-10.68
337,0.27,-0.21,-0.54,-45.35,50.23,-24.6
357,0.27,-0.29,-0.64,-38.02,63.48,-33.69
377,0.25,-0.35,-0.73,-32.17,72.51,-39.55
397,0.25,-0.46,-0.81,-36.01,75.68,-36.62
418,0.24,-0.52,-0.89,-44.56,76.05,-24.48
439,0.19,-0.52,-0.97,-43.95,72.08,-15.81
458,0.16,-0.52,-0.96,-29.11,69.15,-8.48
478,0.15,-0.51,-0.92,-21.48,75.87,-2.99
499,0.13,-0.55,-1.01,-28.81,82.64,-0.85
518,0.12,-0.62,-1.16,-32.65,77.03,4.03
538,0.13,-0.68,-1.26,-22.4,65.0,14.59
558,0.13,-0.73,-1.3,-8.36,52.37,31.13
578,0.11,-0.7,-1.28,-1.46,41.75,48.95
598,0.07,-0.63,-1.25,-12.39,34.3,57.07
619,0.04,-0.62,-1.29,-30.46,28.87,60.06
638,0.03,-0.63,-1.34,-27.1,26.55,69.58
657,0.02,-0.56,-1.38,-21.12,24.41,74.83
677,0.01,-0.49,-1.41,-23.19,11.66,78.49
697,-0.0,-0.45,-1.36,-32.78,-4.15,76.78
717,0.01,-0.4,-1.31,-23.5,-9.52,78.19
737,0.02,-0.34,-1.32,-14.16,-12.82,78.19
757,0.03,-0.3,-1.32,-21.24,-27.22,71.29
778,0.04,-0.28,-1.25,-26.12,-43.27,63.23
798,0.07,-0.26,-1.17,-13.85,-50.23,58.41
819,0.1,-0.26,-1.14,-0.24,-52.19,55.11
840,0.12,-0.24,-1.08,-13.73,-67.69,49.74
861,0.12,-0.19,-0.94,-24.35,-73.73,43.33
881,0.17,-0.19,-0.84,-20.69,-62.07,38.76
900,0.21,-0.2,-0.86,-18.19,-57.62,36.44
920,0.23,-0.21,-0.79,-17.46,-60.24,29.48
940,0.25,-0.21,-0.68,-18.62,-62.81,22.71
961,0.28,-0.21,-0.6,-12.45,-58.17,16.97
982,0.3,-0.22,-0.5,-10.25,-49.32,9.22
1003,0.32,-0.2,-0.41,-15.75,-40.95,5.98
1023,0.33,-0.16,-0.33,-9.09,-27.47,2.08
1043,0.34,-0.14,-0.27,-2.32,-13.92,-2.69
1063,0.35,-0.12,-0.23,-6.77,-1.89,-8.91
1083,0.37,-0.14,-0.23,-18.01,10.8,-15.2
1103,0.38,-0.19,-0.32,-20.75,23.07,-18.62
1124,0.37,-0.24,-0.41,-4.03,31.13,-18.98
1144,0.35,-0.24,-0.39,10.8,35.58,-18.74
1163,0.33,-0.19,-0.35,8.85,38.45,-19.65
1183,0.28,-0.2,-0.41,-8.97,47.91,-27.71
1203,0.25,-0.27,-0.53,-14.83,59.14,-35.95
1223,0.22,-0.27,-0.56,6.23,66.83,-36.32
1243,0.18,-0.28,-0.58,11.29,72.51,-39.12
1263,0.14,-0.32,-0.67,-2.87,77.82,-45.65
1283,0.09,-0.38,-0.78,-7.87,81.42,-51.76
1303,0.07,-0.45,-0.87,1.46,84.17,-56.15
1322,0.05,-0.49,-0.92,13.55,84.35,-52.43
1342,0.01,-0.5,-0.97,6.41,81.3,-49.8
1363,-0.01,-0.55,-1.03,0.67,81.18,-51.88
1384,-0.02,-0.6,-1.1,6.9,82.7,-50.11
1404,-0.02,-0.65,-1.22,8.18,79.41,-46.2
1424,-0.03,-0.71,-1.32,4.39,66.1,-42.79
1445,-0.05,-0.75,-1.36,8.06,50.96,-36.68
1466,-0.06,-0.77,-1.34,20.45,39.43,-27.34
1487,-0.07,-0.74,-1.33,23.62,31.68,-16.11
1508,-0.09,-0.67,-1.31,16.11,16.54,-6.59
1527,-0.1,-0.63,-1.25,16.6,12.33,-5.43
1546,-0.11,-0.61,-1.2,18.74,8.0,-3.17
1566,-0.11,-0.57,-1.17,16.24,3.85,-1.04
1586,-0.12,-0.51,-1.06,16.72,-2.26,1.16
1606,-0.12,-0.47,-1.0,12.94,-1.16,0.92
1627,-0.09,-0.49,-1.01,1.89,0.73,-3.23
1647,-0.08,-0.51,-0.99,-2.56,-2.14,-4.15
1668,-0.09,-0.51,-0.93,1.4,-4.03,-0.18
1689,-0.09,-0.49,-0.89,3.6,-3.6,2.32
1710,-0.09,-0.46,-0.87,3.54,-1.59,1.71
1730,-0.08,-0.45,-0.87,1.89,-1.1,0.73
1750,-0.07,-0.46,-0.89,-3.6,-1.65,-1.4
1770,-0.07,-0.48,-0.89,-3.97,-3.17,-0.61
1790,-0.07,-0.46,-0.87,-1.83,-3.3,3.23
1810,-0.07,-0.43,-0.85,-1.83,-3.23,5.0
1831,-0.07,-0.42,-0.87,-4.09,-1.59,3.36
1852,-0.06,-0.44,-0.89,-1.46,-0.73,-0.92
1873,-0.05,-0.47,-0.87,3.54,-0.85,0.85
1893,-0.06,-0.45,-0.86,3.72,0.85,3.42
1913,-0.06,-0.44,-0.88,1.53,2.08,3.17
1932,-0.06,-0.45,-0.89,0.79,1.95,3.11
1951,-0.07,-0.43,-0.88,-0.67,1.16,3.48
1971,-0.07,-0.42,-0.9,-2.75,1.65,2.81
1990,-0.07,-0.44,-0.92,-3.11,1.46,0.73
2010,-0.07,-0.44,-0.9,-0.73,0.12,1.34
