time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
10,0.45,-0.03,-0.85,-4.7,-7.57,0.85
30,0.45,-0.03,-0.84,8.54,0.37,4.58
49,0.44,0.0,-0.9,13.67,2.99,0.18
68,0.46,-0.03,-0.93,5.74,-5.8,-1.71
87,0.49,0.04,-0.97,-5.62,-22.77,4.27
106,0.47,0.09,-0.91,-3.23,-27.53,6.16
125,0.48,0.06,-0.94,13.79,-25.33,5.31
144,0.51,0.03,-0.82,25.33,-25.94,4.76
163,0.56,-0.13,-0.66,12.33,-12.63,4.21
182,0.56,-0.01,-0.72,-15.32,19.41,17.52
202,0.51,0.06,-0.96,-1.83,32.96,21.42
222,0.49,0.08,-1.04,29.17,20.87,24.11
242,0.43,0.16,-0.96,29.6,-2.56,7.32
262,0.4,0.09,-0.81,14.04,-20.51,-10.56
282,0.38,0.06,-0.61,-4.09,-14.65,-18.74
303,0.32,0.04,-0.53,-6.35,6.59,-25.57
324,0.21,-0.04,-0.35,-15.26,25.76,-35.95
344,0.17,-0.02,-0.27,-21.91,58.41,-41.63
363,0.12,0.05,-0.24,0.0,113.53,-40.65
382,0.06,0.11,-0.29,-5.0,179.02,-57.07
402,-0.03,-0.03,-0.55,-32.23,222.35,-72.51
422,-0.07,-0.15,-0.75,-50.42,240.3,-81.12
442,-0.07,-0.42,-1.08,-26.49,241.94,-68.24
462,-0.05,-0.71,-1.32,14.1,214.29,-12.33
482,0.04,-0.59,-1.26,-1.53,185.97,48.95
502,-0.03,-0.36,-1.41,-15.5,163.51,82.09
522,-0.16,-0.16,-1.51,-11.17,126.77,86.73
542,-0.1,-0.15,-1.56,-12.15,109.37,81.73
562,-0.1,-0.15,-1.71,-16.85,75.13,84.47
583,-0.09,-0.06,-1.77,-30.03,11.84,88.5
604,-0.11,-0.01,-1.74,-17.58,-21.55,83.5
623,-0.14,0.08,-1.55,-7.45,-34.91,79.71
642,-0.06,0.01,-1.53,-0.37,-49.68,60.91
662,0.06,-0.16,-1.7,-11.29,-75.26,53.96
682,0.08,-0.21,-1.78,-15.32,-125.37,73.06
702,-0.06,-0.18,-1.53,2.5,-179.63,102.36
722,-0.09,-0.06,-1.3,4.64,-205.14,111.57
742,-0.02,0.0,-1.33,-3.42,-210.45,90.82
762,0.02,-0.08,-1.25,3.17,-228.64,72.69
782,0.09,-0.1,-1.02,-3.97,-245.36,75.26
802,0.17,-0.06,-0.91,-27.16,-237.06,86.98
823,0.21,-0.03,-0.9,-27.59,-221.31,93.02
844,0.24,0.01,-0.81,-18.13,-218.75,88.56
864,0.27,0.09,-0.61,-17.03,-214.17,76.54
883,0.31,0.12,-0.45,-18.92,-195.37,59.02
902,0.38,0.06,-0.39,-21.24,-167.91,43.58
921,0.4,-0.02,-0.42,-19.53,-138.67,32.59
941,0.4,0.08,-0.37,-20.63,-124.63,29.79
961,0.41,0.14,-0.29,-22.16,-111.63,11.17
981,0.43,0.12,-0.17,-22.28,-86.98,-18.62
1001,0.43,-0.04,-0.16,-20.45,-65.67,-30.76
1021,0.43,-0.11,-0.07,-15.93,-39.37,-23.5
1041,0.45,-0.07,0.07,-8.06,12.63,-18.49
1061,0.44,-0.01,0.08,3.17,75.01,-24.17
1081,0.36,0.03,0.11,2.75,132.45,-42.91
1101,0.19,0.11,0.31,-27.65,207.09,-77.27
1121,-0.01,0.16,0.38,-52.0,331.85,-130.07
1141,-0.36,0.17,-0.07,5.55,476.99,-180.54
1160,-0.6,-0.11,-1.11,129.58,550.9,-196.9
1180,-0.32,-0.9,-2.24,200.62,451.48,-124.82
1200,0.09,-0.91,-2.06,62.68,261.54,-2.08
1221,0.1,-0.14,-1.81,-50.48,173.22,19.1
1241,-0.16,0.27,-1.69,17.52,133.24,-11.11
1261,-0.19,0.25,-1.37,97.11,131.53,-36.38
1281,-0.11,-0.07,-1.52,102.54,114.69,-34.85
1301,0.02,-0.28,-1.57,28.99,63.05,-19.53
1320,0.05,-0.27,-1.52,-7.87,36.44,-9.7
1340,-0.09,-0.09,-1.22,-23.44,2.32,15.2
1360,-0.14,0.08,-1.08,-5.62,9.34,16.17
1380,-0.11,0.03,-1.17,11.47,23.74,-4.03
1400,-0.08,-0.12,-1.19,20.14,20.26,-13.31
1420,-0.1,-0.15,-1.21,2.5,6.96,-4.94
1440,-0.14,-0.11,-1.13,-22.64,-11.29,3.54
1460,-0.16,-0.08,-1.06,-13.61,-11.78,6.9
1480,-0.17,-0.05,-0.99,10.5,-3.23,6.04
1500,-0.15,-0.05,-0.99,8.3,-1.04,1.4
1520,-0.15,-0.07,-1.01,-3.6,-5.8,0.06
1540,-0.14,-0.09,-1.04,-8.48,-11.6,2.69
1560,-0.17,-0.09,-0.97,-11.11,-17.4,5.74
1580,-0.14,-0.08,-0.91,-6.47,-12.57,3.05
1600,-0.15,-0.08,-0.95,3.05,-3.48,3.3
1620,-0.16,-0.08,-0.96,3.11,-2.5,3.72
1640,-0.16,-0.08,-1.02,3.17,-0.55,4.46
1660,-0.17,-0.08,-1.02,2.75,-5.07,4.94
1680,-0.16,-0.08,-0.96,-3.05,-9.77,3.23
1699,-0.16,-0.08,-0.94,-4.64,-7.57,1.22
1719,-0.15,-0.08,-0.93,-1.65,-1.1,1.83
1739,-0.14,-0.08,-0.96,10.38,5.55,4.21
1759,-0.15,-0.07,-0.99,14.95,7.08,5.55
1779,-0.15,-0.05,-1.02,3.85,3.42,1.34
1799,-0.15,-0.06,-1.02,-6.1,-1.83,-3.42
1819,-0.14,-0.1,-0.98,0.61,-0.24,-0.61
1839,-0.14,-0.1,-0.96,8.12,4.82,5.07
1859,-0.14,-0.06,-0.99,3.6,5.86,3.91
1879,-0.13,-0.07,-1.05,-0.73,0.37,0.98
1899,-0.15,-0.09,-1.03,2.2,-4.09,1.89
1919,-0.15,-0.09,-0.99,2.81,-2.75,2.38
1939,-0.14,-0.07,-1.0,0.18,-2.62,1.22
1960,-0.14,-0.08,-0.98,-4.09,-3.17,-0.55
1981,-0.13,-0.11,-0.99,-4.33,-3.05,2.5
