time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
3,-0.33,0.39,-1.14,5.31,-15.32,-13.67
11,-0.3,0.37,-0.9,1.83,-7.39,-11.72
19,-0.22,0.45,-0.89,-1.16,-16.42,-6.1
27,-0.27,0.4,-0.88,-2.56,-20.75,-6.23
35,-0.23,0.35,-0.81,-3.36,-18.92,-4.33
43,-0.21,0.35,-0.78,-2.69,-20.51,-4.27
51,-0.16,0.33,-0.73,-1.16,-21.06,-6.29
59,-0.13,0.31,-0.67,-0.31,-25.82,-11.17
67,-0.13,0.32,-0.64,0.06,-28.87,-13.92
75,-0.15,0.32,-0.6,2.14,-34.91,-17.7
83,-0.17,0.32,-0.59,4.15,-36.38,-18.62
91,-0.19,0.32,-0.59,10.25,-37.05,-18.31
99,-0.19,0.31,-0.63,15.81,-34.36,-16.85
107,-0.19,0.3,-0.64,17.46,-31.25,-16.54
115,-0.17,0.28,-0.66,20.02,-22.64,-16.54
123,-0.15,0.28,-0.66,20.57,-17.03,-16.48
131,-0.13,0.26,-0.63,21.06,-5.37,-18.31
139,-0.12,0.25,-0.6,22.34,-0.12,-19.96
147,-0.08,0.27,-0.53,24.78,7.75,-23.8
155,-0.11,0.26,-0.51,29.91,2.75,-30.03
163,-0.13,0.26,-0.53,33.02,-1.77,-32.65
171,-0.16,0.28,-0.59,37.48,-10.68,-36.25
179,-0.18,0.28,-0.6,38.57,-14.04,-36.99
187,-0.22,0.27,-0.63,41.14,-19.59,-36.68
195,-0.22,0.23,-0.66,44.62,-21.91,-36.19
203,-0.21,0.23,-0.67,45.84,-20.75,-36.87
211,-0.23,0.2,-0.68,48.89,-16.05,-39.67
219,-0.24,0.2,-0.69,49.62,-13.43,-40.71
227,-0.27,0.22,-0.67,50.05,-9.4,-42.66
235,-0.31,0.21,-0.66,51.15,-9.09,-43.82
243,-0.38,0.2,-0.67,54.75,-12.94,-43.82
251,-0.43,0.21,-0.69,57.86,-18.25,-41.69
259,-0.46,0.2,-0.7,59.02,-20.87,-39.98
267,-0.52,0.17,-0.75,62.26,-22.95,-35.4
275,-0.54,0.16,-0.77,63.23,-22.22,-32.71
283,-0.56,0.16,-0.81,64.09,-18.13,-26.43
291,-0.57,0.16,-0.85,64.7,-13.06,-20.51
299,-0.56,0.16,-0.86,64.82,-9.89,-18.37
307,-0.58,0.17,-0.86,64.39,-3.42,-14.22
315,-0.6,0.16,-0.86,65.25,-0.85,-12.02
323,-0.61,0.15,-0.87,66.83,2.26,-6.77
331,-0.62,0.15,-0.88,67.63,2.32,-4.39
339,-0.63,0.14,-0.9,68.97,-1.53,-0.12
347,-0.64,0.09,-0.93,70.13,-8.0,3.91
355,-0.63,0.08,-0.94,70.5,-10.8,6.47
363,-0.63,0.07,-0.98,72.94,-13.79,11.11
371,-0.64,0.06,-1.01,73.67,-13.85,13.49
379,-0.62,0.04,-1.08,73.0,-11.05,19.1
387,-0.58,0.04,-1.09,69.52,-2.75,22.22
395,-0.57,0.04,-1.08,67.81,1.53,22.28
403,-0.6,0.03,-1.07,65.0,2.26,21.3
411,-0.62,0.03,-1.08,63.9,-0.12,21.06
419,-0.66,0.05,-1.13,60.67,-8.61,22.71
427,-0.68,0.04,-1.15,58.47,-13.49,24.35
435,-0.69,0.04,-1.19,54.75,-19.59,29.3
443,-0.71,0.02,-1.23,53.83,-20.2,34.97
451,-0.71,0.02,-1.25,54.26,-18.92,38.27
459,-0.72,0.01,-1.3,54.26,-12.63,45.84
467,-0.71,0.01,-1.32,53.59,-7.69,49.8
475,-0.65,0.0,-1.32,50.84,3.36,56.58
483,-0.61,-0.01,-1.31,49.07,6.96,58.84
491,-0.55,-0.03,-1.29,45.41,8.3,60.24
499,-0.51,-0.04,-1.29,40.77,2.75,58.59
507,-0.51,-0.04,-1.3,38.21,-1.1,57.5
515,-0.52,-0.05,-1.32,33.63,-8.12,56.46
523,-0.53,-0.05,-1.34,32.04,-10.19,56.76
531,-0.53,-0.03,-1.37,30.7,-8.0,60.12
539,-0.51,-0.03,-1.37,28.87,0.55,66.04
547,-0.49,-0.02,-1.37,27.77,4.33,68.91
555,-0.44,-0.02,-1.36,24.96,7.2,74.22
563,-0.41,-0.03,-1.37,23.19,6.29,76.11
571,-0.34,-0.05,-1.39,18.86,1.46,77.15
579,-0.31,-0.06,-1.41,16.54,-0.67,76.05
587,-0.26,-0.05,-1.47,11.6,-0.92,72.51
595,-0.24,-0.05,-1.52,5.07,1.53,67.87
603,-0.24,-0.05,-1.54,1.22,3.85,65.67
611,-0.26,-0.03,-1.57,-7.39,10.44,62.87
619,-0.26,-0.02,-1.57,-11.72,15.26,62.62
