time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
3,-0.23,0.19,-0.97,9.77,8.67,-0.24
11,-0.25,0.2,-0.84,8.3,15.75,0.73
19,-0.18,0.17,-0.79,11.84,-0.73,2.75
27,-0.16,0.15,-0.75,14.16,-4.7,1.1
35,-0.1,0.16,-0.69,21.24,-17.46,-1.95
43,-0.05,0.16,-0.66,29.3,-22.83,-6.96
51,-0.05,0.17,-0.68,32.96,-22.58,-9.4
59,-0.06,0.17,-0.72,37.66,-13.92,-12.94
67,-0.09,0.17,-0.75,38.45,-5.31,-14.1
75,-0.19,0.17,-0.79,36.99,16.05,-13.67
83,-0.23,0.16,-0.79,35.95,24.05,-12.02
91,-0.29,0.12,-0.77,35.03,30.58,-8.36
99,-0.34,0.11,-0.74,36.5,27.04,-5.25
107,-0.36,0.11,-0.72,38.27,22.4,-3.78
115,-0.39,0.1,-0.7,44.25,7.2,-1.4
123,-0.38,0.1,-0.71,48.1,-1.46,-0.37
131,-0.4,0.11,-0.74,54.32,-10.19,1.53
139,-0.44,0.11,-0.79,58.78,-5.92,5.43
147,-0.46,0.13,-0.83,59.88,-1.71,8.48
155,-0.49,0.15,-0.89,59.57,10.5,15.14
163,-0.5,0.15,-0.89,58.59,16.17,18.07
171,-0.5,0.12,-0.86,58.11,17.76,22.64
179,-0.51,0.11,-0.84,59.45,14.95,23.25
187,-0.54,0.1,-0.85,64.7,3.05,24.54
195,-0.57,0.09,-0.94,69.58,-7.63,27.1
203,-0.59,0.09,-0.99,70.68,-10.93,28.75
211,-0.62,0.08,-1.11,70.74,-13.61,33.39
219,-0.63,0.07,-1.14,69.7,-13.12,36.25
227,-0.64,0.07,-1.2,67.2,-12.08,41.87
235,-0.64,0.06,-1.23,65.73,-11.41,44.74
243,-0.64,0.01,-1.25,61.04,-9.95,50.23
251,-0.63,-0.01,-1.24,57.56,-8.73,55.91
259,-0.62,-0.04,-1.25,56.58,-9.22,58.53
267,-0.64,-0.06,-1.26,54.93,-14.1,62.93
275,-0.65,-0.05,-1.29,54.5,-20.08,65.19
283,-0.62,-0.04,-1.37,52.25,-31.92,71.11
291,-0.57,-0.02,-1.45,46.2,-35.89,77.64
299,-0.53,-0.01,-1.48,41.87,-34.97,80.38
307,-0.48,-0.01,-1.48,32.53,-30.15,83.44
315,-0.46,-0.01,-1.46,28.44,-29.42,83.8
323,-0.43,-0.02,-1.45,23.13,-31.19,83.86
331,-0.43,-0.03,-1.46,21.24,-31.56,83.68
339,-0.44,-0.06,-1.49,18.01,-31.07,83.01
347,-0.47,-0.08,-1.53,14.28,-29.97,84.84
355,-0.47,-0.07,-1.56,11.6,-28.14,87.71
363,-0.41,-0.05,-1.64,4.09,-23.5,95.03
371,-0.37,-0.05,-1.67,-1.89,-21.42,98.02
379,-0.31,-0.04,-1.68,-15.69,-22.64,101.32
387,-0.23,-0.05,-1.64,-28.87,-31.68,102.97
395,-0.19,-0.05,-1.61,-34.67,-37.72,102.84
403,-0.15,-0.06,-1.54,-44.86,-48.22,100.71
411,-0.12,-0.07,-1.5,-48.71,-52.67,99.55
419,-0.07,-0.08,-1.43,-54.32,-58.47,96.5
427,-0.05,-0.08,-1.4,-56.58,-57.68,95.46
435,0.03,-0.06,-1.33,-61.1,-53.89,94.48
443,0.13,-0.05,-1.27,-64.7,-45.59,91.25
451,0.15,-0.03,-1.23,-66.28,-41.44,88.2
459,0.17,-0.02,-1.17,-69.4,-31.68,81.97
467,0.16,-0.03,-1.13,-70.68,-27.71,78.25
475,0.12,-0.03,-1.05,-71.35,-23.93,70.8
483,0.08,0.0,-1.01,-70.92,-21.73,65.86
491,0.07,0.01,-1.0,-71.23,-19.59,64.09
499,0.05,0.03,-0.94,-72.33,-16.72,61.22
507,0.05,0.03,-0.92,-72.02,-16.17,60.0
515,0.06,0.04,-0.87,-71.17,-14.83,56.58
523,0.06,0.06,-0.85,-70.62,-13.92,55.18
531,0.09,0.09,-0.82,-69.15,-11.29,52.37
539,0.1,0.11,-0.79,-68.66,-7.02,47.06
547,0.09,0.11,-0.76,-68.36,-6.35,44.07
555,0.08,0.11,-0.69,-65.67,-4.46,38.27
563,0.08,0.12,-0.66,-63.48,-4.58,36.13
571,0.08,0.14,-0.62,-57.74,-3.72,32.23
579,0.11,0.17,-0.61,-52.55,0.67,28.81
587,0.12,0.19,-0.59,-50.66,4.52,26.73
595,0.12,0.22,-0.55,-47.12,11.29,21.55
603,0.12,0.22,-0.53,-45.29,13.12,18.19
611,0.09,0.23,-0.5,-40.95,16.36,11.11
619,0.07,0.23,-0.5,-38.7,18.62,8.0
627,0.02,0.22,-0.5,-34.0,21.36,3.66
635,-0.01,0.22,-0.5,-30.88,21.3,0.37
643,-0.04,0.22,-0.49,-29.48,19.65,-1.1
651,-0.08,0.22,-0.46,-26.92,14.89,-2.26
659,-0.09,0.23,-0.45,-25.21,11.05,-2.01
667,-0.07,0.26,-0.44,-20.94,4.39,-0.98
675,-0.06,0.27,-0.44,-19.23,4.58,-0.67
683,-0.04,0.28,-0.43,-15.38,9.03,-1.71
691,-0.06,0.28,-0.43,-10.74,10.56,-4.58
699,-0.07,0.27,-0.43,-7.75,8.06,-5.98
707,-0.09,0.26,-0.43,-0.55,-0.67,-9.46
715,-0.1,0.26,-0.45,2.81,-4.88,-10.74
723,-0.1,0.26,-0.46,8.42,-5.62,-12.27
731,-0.09,0.26,-0.46,13.92,1.22,-12.27
739,-0.08,0.26,-0.46,16.54,7.39,-12.57
747,-0.1,0.26,-0.45,21.85,15.62,-14.65
755,-0.12,0.25,-0.45,25.39,16.85,-16.48
763,-0.17,0.23,-0.46,32.96,14.71,-19.96
771,-0.2,0.22,-0.48,36.74,12.76,-21.18
779,-0.25,0.19,-0.51,43.46,10.5,-21.67
787,-0.25,0.18,-0.51,50.23,10.07,-19.84
795,-0.24,0.17,-0.52,53.16,10.13,-18.55
803,-0.21,0.17,-0.55,57.8,11.72,-16.24
811,-0.2,0.17,-0.56,59.08,13.85,-15.01
819,-0.18,0.17,-0.55,60.49,19.35,-13.55
827,-0.17,0.17,-0.52,62.68,15.14,-14.47
835,-0.16,0.18,-0.52,65.25,10.62,-15.93
843,-0.16,0.14,-0.54,71.53,1.65,-20.08
851,-0.17,0.13,-0.56,75.13,-0.61,-22.4
859,-0.19,0.1,-0.6,82.21,1.22,-24.17
867,-0.19,0.08,-0.61,85.75,3.17,-24.35
875,-0.15,0.06,-0.66,92.96,8.79,-24.54
883,-0.16,0.04,-0.72,97.6,15.93,-25.76
891,-0.17,0.04,-0.76,98.51,19.1,-25.94
899,-0.19,0.02,-0.78,98.88,26.49,-25.21
907,-0.21,0.02,-0.79,99.3,29.3,-25.02
915,-0.25,0.0,-0.8,102.48,30.88,-24.72
923,-0.27,-0.01,-0.85,107.67,26.0,-25.09
931,-0.29,-0.03,-0.89,110.96,20.87,-26.06
939,-0.35,-0.05,-0.99,117.37,8.06,-27.71
947,-0.37,-0.06,-1.05,119.08,2.75,-27.65
955,-0.37,-0.06,-1.15,119.38,1.28,-23.74
963,-0.35,-0.06,-1.2,117.68,5.49,-20.51
971,-0.28,-0.07,-1.23,111.82,18.8,-13.92
979,-0.2,-0.06,-1.23,106.2,25.7,-12.21
987,-0.18,-0.08,-1.23,105.22,25.09,-14.34
995,-0.21,-0.14,-1.26,106.75,18.01,-22.64
1003,-0.24,-0.16,-1.29,108.4,13.18,-26.79
1011,-0.31,-0.18,-1.39,111.51,9.83,-30.4
1019,-0.31,-0.19,-1.44,111.82,10.93,-29.91
1027,-0.33,-0.2,-1.5,109.62,18.62,-27.77
1035,-0.34,-0.2,-1.53,105.65,22.77,-25.51
1043,-0.35,-0.2,-1.54,102.91,23.99,-24.23
1051,-0.37,-0.21,-1.55,96.07,27.22,-21.61
1059,-0.38,-0.21,-1.56,92.9,28.63,-19.84
1067,-0.4,-0.21,-1.63,85.88,33.26,-14.4
1075,-0.42,-0.21,-1.7,75.2,41.08,-7.32
1083,-0.41,-0.2,-1.72,68.79,42.97,-3.78
1091,-0.37,-0.19,-1.73,56.15,34.61,0.73
1099,-0.36,-0.19,-1.75,49.8,24.41,0.73
1107,-0.33,-0.2,-1.77,35.1,-1.4,-0.61
1115,-0.33,-0.2,-1.77,27.04,-10.93,-0.92
1123,-0.34,-0.21,-1.77,10.5,-17.94,0.98
1131,-0.34,-0.21,-1.72,-7.87,-15.93,6.23
1139,-0.33,-0.21,-1.67,-16.72,-13.37,9.4
1147,-0.3,-0.22,-1.59,-31.8,-10.25,14.77
1155,-0.31,-0.22,-1.56,-39.0,-9.28,16.91
1163,-0.32,-0.22,-1.46,-52.8,-0.43,23.44
1171,-0.28,-0.23,-1.32,-63.6,6.84,30.82
1179,-0.25,-0.23,-1.25,-66.89,8.91,33.57
1187,-0.17,-0.21,-1.12,-69.58,7.63,34.67
1195,-0.14,-0.2,-1.06,-68.79,4.64,33.33
